Type of election,All R elections / Elections conducted / Total elections,All R elections / Elections conducted / Withdrawn or dismissed before certification,All R elections / Elections conducted / Rerun or runoff,All R elections / Resulting in certification,RC elections / Elections conducted / Total elections,RC elections / Elections conducted / Withdrawn or dismissed before certification,RC elections / Elections conducted / Rerun or runoff,RC elections / Resulting in certification,RM elections / Elections conducted / Total elections,RM elections / Elections conducted / Withdrawn or dismissed before certification,RM elections / Elections conducted / Rerun or runoff,RM elections / Resulting in certification,RD elections / Elections conducted / Total elections,RD elections / Elections conducted / Withdrawn or dismissed before certification,RD elections / Elections conducted / Rerun or runoff,RD elections / Resulting in certification
All types,9226,83,220,8923,8334,79,209,8046,415,2,7,406,457,2,4,451
Rerun required,,,167,,,,152,,,,7,,,,,
Runoff required,,,53,,,,57,,,,,,,,,
Consent elections,1829,7,30,1792,1623,6,27,1691,97,1,3,93,109,1,0,108
Rerun required,,,21,,,,18,,,,3,,,,,
Runoff required,,,9,,,,9,,,,,,,,,
Stipulated elections,5388,48,131,5207,4892,44,122,4852,224,0,3,221,281,0,0,269
Rerun required,,,97,,,,92,,,,3,,,,,
Runoff required,,,34,,,,30,,,,,,,,,
Regional director-directed,1721,30,54,1647,1553,28,52,1503,89,1,1,88,59,1,2,58
Rerun required,,,42,,,,41,,,,1,,,,,
Runoff required,,,12,,,,11,,,,,,,,,
Board-directed,59,1,4,54,54,1,4,49,2,0,0,2,3,0,0,3
Expedited—see. 8(b)(7)(C),29,0,1,,8,0,0,,21,0,0,,0,0,0,
Rerun required,,,1,,,,,,,,,,,,,
