Industrial group,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which no representative was chosen / Other local unions,Number of employees eligible to vote / Number of elections in which no representative was chosen,Total valid votes cast / Number of employees eligible to vote,Valid votes cast for unions / Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Total votes for no union representation / Other local unions,Eligible employees not in choosing representation / Total votes for no union representation,Eligible employees not in choosing representation
Local passenger transportation,67,41,11,4,0,26,2848,2181,1231,672,456,0,103,950,1804,
"Motor freight, warehousing, and transportation services",544,307,39,246,0,22,237,12604,11089,6231,1265,4443,218,305,4778,6737
Water transportation,47,32,9,12,0,8,15,2011,1683,1036,479,337,0,133,613,1602
Other transportation,34,22,12,8,1,0,12,19042,18240,16113,7473,594,7909,137,1940,618
Communications,34,18,8,5,1,1,18,18387,16856,14422,5525,166,8569,162,1434,16987
"Heat, light, power, water, and sanitary services",153,99,68,19,11,1,54,10851,9623,9006,5965,3570,353,1043,3041,5393
"Transportation, communication, and other utilities",1022,590,252,294,21,23,426,64234,58225,38623,15987,6099,1275,14728,13602,47081
Hotels and other lodging places,115,52,27,9,0,16,70,5432,2373,1663,97,213,489,913,3059,1832
Personal services,82,44,23,9,0,11,70,2017,1818,1025,1419,522,67,85,856,956
"Automobile repairs, garages, and other miscellaneous repair services",142,74,33,28,0,13,68,3628,3028,1693,507,1052,134,0,1335,1521
"Amusement and recreation services, except motion pictures",30,16,9,5,0,2,16,940,832,449,248,115,30,56,383,281
Medical and other health services,281,172,92,21,0,59,109,13498,10918,6344,5410,227,299,408,4574,7689
Educational services,250,155,87,29,9,30,95,13557,11187,5271,2365,739,2165,0,5916,3317
