row_label,col_1,Injunction proceedings / Total proceedings,"Injunction proceedings / Pending in district court July 1, 1971",Injunction proceedings / Filed in district court fiscal year 1972,Disposition of injunctions / Total dispositions,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,Disposition of injunctions / Dismissed,Disposition of injunctions / Inactive,"Pending in district court June 30, 1972"
"Under sec. 10(e), total",6,6,1,5,5,0,0,0,0,0,0,0
"Under sec. 10(j), total",21,2,19,18,11,0,3,1,1,2,0,3
8(a)(1),1,0,1,0,0,0,0,0,0,0,0,1
8(a)(2),1,1,0,1,0,0,1,0,0,0,0,0
8(a)(3),3,0,3,2,1,0,1,0,0,0,0,1
8(a)(1)(2),1,0,1,1,1,0,0,0,0,0,0,0
8(a)(1)(3),,,,,,,,,,,,
"Under sec. 10(l), total",261,4,257,250,99,10,93,27,12,9,0,11
8(b)(4)(A),5,0,5,5,3,0,2,0,0,0,0,0
8(b)(4)(B),128,1,124,121,47,5,20,15,6,5,0,5
8(b)(4)(C),,,,,,,,,,,,
