Type of litigation,Number of proceedings / Total—all courts / Number decided,Number of proceedings / Total—all courts / Court determination / Upholding Board position,Number of proceedings / Total—all courts / Court determination / Contrary to Board position,Number of proceedings / In courts of appeals / Number decided,Number of proceedings / In courts of appeals / Court determination / Upholding Board position,Number of proceedings / In courts of appeals / Court determination / Contrary to Board position,Number of proceedings / In district courts / Number decided,Number of proceedings / In district courts / Court determination / Upholding Board position,Number of proceedings / In district courts / Court determination / Contrary to Board position
Totals—all types,52,47,5,25,23,2,27,24,3
NLRB-initiated actions,9,9,0,2,2,0,7,7,0
To enforce subpenas,7,7,0,1,1,0,6,6,0
To restrain dissipation of assets by respondent,0,0,0,0,0,0,0,0,0
To defend Board's jurisdiction,2,2,0,1,1,0,1,1,0
Action by other parties,43,38,5,23,21,2,20,17,3
To restrain NLRB from:,9,9,0,3,3,0,6,6,0
Proceeding in R case,6,6,0,0,0,0,6,6,0
Proceeding in unfair labor practice case,3,3,0,3,3,0,0,0,0
Proceeding in backpay case,0,0,0,0,0,0,0,0,0
Other,0,0,0,0,0,0,0,0,0
To compel NLRB to:,27,24,3,17,15,2,10,9,1
Issue complaint,13,13,0,10,10,0,3,3,0
Seek injunction,1,1,0,1,1,0,0,0,0
Take action in R case,8,6,2,5,3,2,3,3,0
Other,5,4,1,1,1,0,4,3,1
Other,7,5,2,3,3,0,4,2,2
