Status,Total,Identification of Filing Party — AFL-CIO unions,Identification of Filing Party — Teamsters,Identification of Filing Party — Other national unions,Identification of Filing Party — Other local unions,Identification of Filing Party — Individuals,Identification of Filing Party — Employers
"All cases — Pending July 1, 1972",12797,5424,1508,519,501,3435,1410
All cases — Received fiscal 1973,41077,14345,6015,1181,1162,13299,5075
All cases — On docket fiscal 1973,53874,19769,7523,1700,1663,16734,6485
All cases — Closed fiscal 1973,41566,14681,6073,1320,1308,13290,4894
"All cases — Pending June 30, 1973",12308,5088,1450,380,355,3444,1591
"Unfair labor practice cases — Pending July 1, 1972",9503,3706,730,331,310,3202,1224
Unfair labor practice cases — Received fiscal 1973,26487,7374,2096,591,540,11908,3978
Unfair labor practice cases — On docket fiscal 1973,35990,11080,2826,922,850,15110,5202
Unfair labor practice cases — Closed fiscal 1973,26989,7780,2105,674,655,11934,3841
"Unfair labor practice cases — Pending June 30, 1973",9001,3300,721,248,195,3176,1361
"Representation cases — Pending July 1, 1972",3200,1684,772,184,188,201,171
Representation cases — Received fiscal 1973,14032,6808,3889,568,606,1170,991
Representation cases — On docket fiscal 1973,17232,8492,4661,752,794,1371,1162
Representation cases — Closed fiscal 1973,14059,6733,3944,628,639,1144,971
"Representation cases — Pending June 30, 1973",3173,1759,717,124,155,227,191
"Union-shop Deauthorization cases — Pending July 1, 1972",30,,,,,30,
Union-shop Deauthorization cases — Received fiscal 1973,213,,,,,213,
Union-shop Deauthorization cases — On docket fiscal 1973,243,,,,,243,
Union-shop Deauthorization cases — Closed fiscal 1973,202,,,,,202,
"Union-shop Deauthorization cases — Pending June 30, 1973",41,,,,,41,
"Amendment of certification cases — Pending July 1, 1972",14,7,6,,,1,0
Amendment of certification cases — Received fiscal 1973,78,39,14,13,6,0,6
Amendment of certification cases — On docket fiscal 1973,92,46,16,16,7,1,6
Amendment of certification cases — Closed fiscal 1973,66,38,6,11,4,1,6
"Amendment of certification cases — Pending June 30, 1973",26,8,10,5,3,0,0
"Unit clarification cases — Pending July 1, 1972",50,27,4,1,2,1,15
Unit clarification cases — Received fiscal 1973,267,124,16,9,10,8,100
Unit clarification cases — On docket fiscal 1973,317,151,20,10,12,9,115
Unit clarification cases — Closed fiscal 1973,250,130,18,7,10,9,76
