Types of formal actions taken,Cases in which formal action taken,Total formal actions taken,Formal actions taken by type of case — CA,Formal actions taken by type of case — CB,Formal actions taken by type of case — CC,Formal actions taken by type of case — CD Jurisdictional disputes,Formal actions taken by type of case — CD Unfair labor practices,Formal actions taken by type of case — CE,Formal actions taken by type of case — CP,Formal actions taken by type of case — CA combined with CB,Formal actions taken by type of case — C combined with represen­tation cases,Formal actions taken by type of case — Other C combinations
10(b) notices of hearings issued,,141,,,,141,,,,,,
Complaints issued,3799,2529,2026,284,141,,11,5,28,65,88,36
Backpay specifications issued,127,72,59,0,0,0,0,0,0,0,8,0
"Hearings completed, total",1742,1272,874,119,44,73,7,1,15,49,73,17
Initial ULP hearings,1645,1205,822,111,44,73,4,1,14,47,71,15
Backpay hearings,18,38,28,7,0,0,0,0,1,0,2,0
Other hearings,29,29,24,1,0,0,0,0,0,2,0,2
"Decisions by administrative law judges, total",1543,1127,770,112,44,5,1,17,43,78,17,
Initial ULP decisions,1460,1058,732,108,44,0,0,4,17,41,75,16
Backpay decisions,31,40,23,4,0,0,0,1,1,1,1,0
Supplemental decisions,42,29,15,0,0,0,0,0,0,1,2,1
"Decisions and orders by the Board, total",1972,1432,984,142,65,93,4,4,20,44,53,22
Upon consent of parties,246,159,63,27,22,0,0,1,2,9,3,7
Initial decisions (upon consent),,,,,,,,,,,,
Supplemental decisions (upon consent),,,,,,,,,,,,
Adopting administrative law judge's decisions (no exceptions filed),381,300,224,20,18,0,0,0,1,3,1,1
"Contested, total",1338,930,643,79,23,93,2,2,12,32,32,12
Decisions based upon stipulated record,17,12,5,1,0,0,0,1,0,2,3,0
Initial ULP decisions (contested),25,22,17,1,0,1,0,0,1,2,0,0
Backpay decisions (contested),36,32,25,1,0,0,0,0,2,2,2,0
