Industrial group,All cases,Unfair labor practice cases — All C,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CP,Representation cases — All R,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-shop Deauthorization cases — UD,Amendment-of-Certification cases — AC,Unit-Clarification cases — UC
Food and kindred products,2009,1227,848,333,28,8,0,10,764,656,48,65,6,0,0
Tobacco manufactures,23,17,13,4,0,0,0,0,6,4,1,1,0,0,0
Textile mill products,519,374,300,60,4,0,0,10,144,116,19,5,2,0,0
Apparel and other finished products made from fabric and similar materials,567,405,290,101,5,2,0,6,159,130,10,13,3,0,0
Lumber and wood products (except furniture),737,395,311,63,13,2,0,2,335,300,16,19,5,0,2
Furniture and fixtures,549,340,253,75,7,2,0,0,202,180,12,10,4,0,3
Paper and allied products,600,309,248,55,3,3,0,0,237,210,10,14,1,0,3
"Printing, publishing, and allied industries",1000,783,455,243,62,13,1,8,499,383,70,44,9,0,4
Chemicals and allied products,782,436,327,96,20,7,0,0,324,271,23,30,7,0,8
Petroleum refining and related industries,281,166,127,33,5,0,0,1,78,73,2,3,0,0,0
Rubber and miscellaneous plastics products,529,251,183,53,14,0,0,0,260,234,15,9,6,0,0
Leather and leather products,173,118,84,31,3,0,0,0,47,42,3,2,2,0,6
"Stone, clay, glass, and concrete products",1049,709,347,133,33,14,0,11,317,271,20,26,12,0,8
Primary metal industries,,,,,,,,,,,,,,,
Fabricated metal products (except machinery and transportation equipment),1855,1246,883,309,20,11,4,19,591,515,31,45,6,4,8
Machinery (except electrical),1673,1035,754,202,88,9,5,4,647,577,20,50,4,0,3
"Electrical and electronic machinery, equipment, and supplies",1161,783,566,165,29,6,0,1,363,327,9,17,8,1,6
Aircraft and parts,313,255,140,99,1,0,0,0,55,50,0,1,4,0,1
Ship and boat building and repairing,129,101,70,31,0,0,0,0,26,23,0,0,1,0,1
Automotive and other transportation equipment,1349,945,652,270,17,1,1,0,397,362,13,23,0,0,7
"Professional, scientific, and controlling instruments",306,187,129,52,3,0,0,0,115,98,5,11,0,0,4
Miscellaneous manufacturing industries,996,638,444,176,13,4,0,1,350,294,21,29,6,0,2
Manufacturing — Total,18020,11413,8093,2852,268,87,21,92,6361,5509,331,521,91,49,116
Metal mining,95,59,48,10,0,0,0,0,32,26,0,6,1,0,3
Coal mining,139,117,75,36,6,0,0,0,22,19,0,3,0,0,0
Oil and gas extraction,56,36,24,8,4,0,0,0,16,16,0,0,1,0,0
Mining and quarrying of nonmetallic minerals (except fuels),117,67,43,16,5,3,0,0,44,37,1,5,0,0,0
Mining — Total,407,289,190,79,26,0,0,0,116,97,1,14,2,0,3
