Division and State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-shop Deauthorization cases — UD,Amendment-of-Certification cases — AC,Unit-Clarification cases — UC
North Carolina,485,335,296,34,3,1,0,1,145,125,8,12,0,2,3
South Carolina,199,179,103,70,6,0,0,0,19,17,0,2,0,1,0
Georgia,639,386,213,62,15,1,0,5,250,207,20,19,2,0,1
Florida,924,614,450,76,21,5,0,8,260,230,20,19,25,0,5
South Atlantic — Division total (continuing from Part 1),3927,2489,1560,400,143,51,15,28,1410,1239,84,87,6,4,18
Kentucky,628,419,325,64,24,4,0,2,202,151,6,15,2,1,4
Tennessee,813,556,414,100,12,7,1,3,239,216,16,22,0,0,1
Alabama,579,374,264,62,32,7,1,8,200,181,10,9,0,0,5
Mississippi,199,112,99,11,1,0,0,0,86,77,0,8,1,0,0
East South Central — Division total,2219,1461,1093,245,70,21,4,22,747,667,32,48,2,2,13
Arkansas,250,139,114,20,4,1,0,0,109,95,2,12,1,0,1
Louisiana,495,354,205,80,23,9,2,12,133,107,16,10,1,0,0
Oklahoma,297,161,125,22,7,0,0,0,133,107,10,16,1,0,2
Texas,1636,1169,780,247,93,23,13,13,445,378,19,30,16,0,11
West South Central — Division total,2678,1782,1224,354,142,39,4,19,867,724,40,103,2,13,14
"Mountain — Division total (Montana, Idaho, Wyoming, Colorado, New Mexico, Arizona, Utah, Nevada aggregated)",1845,1190,766,264,113,31,3,29,639,525,57,57,4,3,5
Washington,1129,657,430,132,61,23,3,9,452,357,56,39,0,4,10
Oregon,629,359,240,97,15,3,1,3,258,176,43,39,8,1,3
California,5387,3463,2237,792,238,55,29,111,1693,1488,152,155,157,7,46
Alaska,160,105,58,29,10,4,0,0,53,37,7,9,1,0,1
Hawaii,361,246,100,63,55,24,0,0,100,86,4,6,0,10,5
Guam,5,1,1,0,0,0,0,0,3,3,0,0,0,0,1
Pacific — Division total,7571,4730,3070,1012,379,113,33,123,2690,2140,302,248,54,22,66
Puerto Rico,616,231,172,42,11,0,4,2,363,352,5,6,5,14,3
Virgin Islands,20,13,10,3,0,0,0,0,9,5,1,3,0,0,1
Outlying Areas — Division total,636,244,182,45,11,0,4,2,372,361,6,9,5,14,4
"Total, all states and areas",41077,26487,17361,6052,1868,627,104,475,14032,11897,991,1144,213,78,267
