Participating unions,Total elections,Percent won,Elections won by unions — Total,Elections won by unions — AFL-CIO,Elections won by unions — Teamsters,Elections won by unions — Other national,Elections won by unions — Other local,Elections in which no representative chosen,Employees eligible to vote — Total,Employees eligible to vote — In elections won,Employees eligible to vote — In units won by AFL-CIO,Employees eligible to vote — In units won by Teamsters,Employees eligible to vote — In units won by Other national,Employees eligible to vote — In units won by Other local,Employees eligible to vote — In elections where no rep
AFL-CIO v. national v. local (3-union),1,0.0,0,,,,,1,263,0,,,,,263
3-or-more-union elections (within RC),40,80.0,32,15,10,2,5,8,6386,5013,2032,2785,270,426,1373
Total RC elections,8526,52.8,4501,2492,1456,296,257,4025,506289,215842,135876,42529,20655,17802,289447
C. Elections in RM cases — AFL-CIO,217,31.8,69,69,,,,148,7156,3157,3157,,,,3997
Teamsters (RM),129,39.8,51,,51,,,77,3257,920,,920,,,2417
Other national unions (RM),17,41.2,7,,,7,,10,1180,50,,,50,,1130
Other local unions (RM),11,63.6,7,,,,7,4,257,134,,,,134,123
1-union elections (RM),373,35.9,134,69,51,7,7,239,11958,4291,3157,920,50,134,7667
2-union elections (RM),16,80.0,12,8,2,0,1,3,2808,2452,2239,37,0,176,356
3-or-more-union elections (RM),2,50.0,1,1,0,0,0,1,383,376,376,0,0,0,7
Total RM elections,390,37.7,147,78,53,7,9,243,15149,7119,5902,957,50,310,8030
D. Elections in RD cases — AFL-CIO,261,61.8,20,20,,,,179,12198,4782,4782,,,,7416
Teamsters (RD),101,19.2,23,,23,,,97,2654,580,,580,,,1774
Other national unions (RD),31,38.7,12,,,12,,19,1116,404,,,404,,711
Other local unions (RD),27,37.0,10,,,,10,19,129,44,,,,44,85
1-union elections (RD),420,15.2,65,20,23,12,10,314,16096,6110,4782,880,404,44,9986
