Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Valid votes cast in elections won — Votes for unions — AFL-CIO unions,Valid votes cast in elections won — Votes for unions — Teamsters,Valid votes cast in elections won — Votes for unions — Other national unions,Valid votes cast in elections won — Votes for unions — Other local unions,Valid votes cast in elections won — Total votes for no union,Valid votes cast in elections lost — Total,Valid votes cast in elections lost — Votes for unions — AFL-CIO unions,Valid votes cast in elections lost — Votes for unions — Teamsters,Valid votes cast in elections lost — Votes for unions — Other national unions,Valid votes cast in elections lost — Votes for unions — Other local unions,Valid votes cast in elections lost — Total votes for no union
Teamsters v. Teamsters v. Teamsters (3-or-more),25,22,,22,,,0,0,,,,,0
3 (or more)-union elections,6459,4926,1927,1774,288,387,550,845,329,198,18,0,682
Total representation elections (A. All R cases),480303,148580,91062,29720,13514,10177,55446,95352,68220,19026,9847,3259,180625
B. Elections in RC cases — AFL-CIO (1-union),259604,65383,65383,,,,33661,56081,56081,,,,104479
Teamsters (1-union),77651,19899,,19899,,,9159,15886,,15886,,,32687
Other national unions (1-union),37222,8746,,,8746,,4233,8789,,,8789,,13330
Other local unions (1-union),14893,5171,,,,5171,1770,2643,,,,2643,5309
1-union elections (RC) — Total,389600,99199,65383,19899,8746,5171,53499,83499,56081,15886,8789,2643,157650
AFL-CIO v. AFL-CIO (2-union),12558,4500,4509,,,,,4400,4400,,,,3649
AFL-CIO v. Teamsters (2-union),17830,9663,6054,4509,,,983,1769,972,554,446,,4400
2-union elections (RC) — Total,54542,38492,16253,5952,4461,6756,2984,8535,3836,1839,592,572,11228
