Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Valid votes cast in elections won — Votes for unions — AFL-CIO,Valid votes cast in elections won — Votes for unions — Teamsters,Valid votes cast in elections won — Votes for unions — Other national,Valid votes cast in elections won — Votes for unions — Other local,Valid votes cast in elections won — Total votes for no union,Valid votes cast in elections lost — Total,Valid votes cast in elections lost — Votes for unions — AFL-CIO,Valid votes cast in elections lost — Votes for unions — Teamsters,Valid votes cast in elections lost — Votes for unions — Other national,Valid votes cast in elections lost — Votes for unions — Other local,Valid votes cast in elections lost — Total votes for no union
Total RC elections,450032,137138,83353,27636,13515,12634,52459,90879,60246,18019,9399,3215,169556
C. Elections in RM cases — AFL-CIO (1-union),6204,2036,2036,,,,745,999,999,,,,2424
Teamsters (RM 1-union),3000,612,,612,,,230,621,,621,,,1537
Other national unions (RM 1-union),1017,41,,,41,,25,,,,,,743
Other local unions (RM 1-union),227,94,,,,94,24,70,,,,70,39
1-union elections (RM) — Total,10448,2783,2036,612,41,94,1007,1874,999,621,225,70,4784
2-union elections (RM) — Total,2441,2066,1413,47,11,615,34,71,14,6,0,51,250
3-or-more-union elections (RM),270,188,170,,,18,75,3,,,,3,4
Total RM elections,13159,5037,3619,659,52,727,1116,1948,1013,630,276,29,5038
D. Elections in RD cases — AFL-CIO (1-union),10421,2808,2808,,,,1312,1919,1919,,,,4379
Teamsters (RD 1-union),2274,489,,489,,,229,377,,377,,,1138
Other national unions (RD 1-union),927,229,,,229,,129,172,,,172,,395
Other local unions (RD 1-union),133,24,,,,24,14,15,,,,15,56
1-union elections (RD) — Total,13755,3550,2808,489,229,24,1724,2483,1919,377,172,15,5968
