Division and State,Total elections,Number of elections in which representation rights won by unions — Total,Number of elections in which representation rights won by unions — AFL-CIO,Number of elections in which representation rights won by unions — Teamsters,Number of elections in which representation rights won by unions — Other national,Number of elections in which representation rights won by unions — Other local,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national,Valid votes cast for unions — Other local,Total votes for no union,Eligible employees in units choosing representation
District of Columbia,55,31,24,0,1,6,24,6470,5006,2404,1776,0,26,602,2602,1813
Maryland,163,80,30,14,5,9,33,10776,9722,5531,3642,910,604,375,4071,5028
Virginia,112,49,30,13,12,1,63,3564,3216,1861,1182,411,0,0,1455,1886
West Virginia,48,25,18,6,0,1,23,12755,11624,7623,7029,0,0,0,10300,7083
North Carolina,112,50,41,6,1,0,62,7635,7022,3481,2945,382,0,0,3447,3447
South Carolina,48,25,21,3,0,1,23,8001,7323,3902,2836,318,0,0,3421,4092
Georgia,150,75,37,32,4,2,78,6464,5820,3196,1861,1196,274,150,2624,3012
Florida,164,77,16,5,1,1,87,7068,6346,2346,4811,1679,0,0,6019,8072
South Atlantic — Division total,980,478,301,149,14,14,502,92552,81488,41451,31065,6748,1939,1701,40037,41022
Kentucky,142,73,40,26,3,4,69,9939,8663,4701,2794,1225,585,232,4318,4318
Tennessee,189,97,57,21,9,5,92,11239,9931,6019,3291,1693,655,300,5055,6497
Alabama,161,76,61,12,1,2,85,15827,14403,7063,5243,355,1007,459,7340,5876
Mississippi,54,32,26,8,4,1,20,7347,6590,3163,3153,0,0,0,3427,3427
East South Central — Division total,546,280,184,67,17,12,266,54283,49404,24552,18239,2900,2484,929,24837,21661
Arkansas,55,29,23,4,1,0,26,9182,8027,3351,2278,450,0,0,4676,3273
Louisiana,141,46,42,18,2,4,75,8194,7712,4374,3058,522,0,0,3338,3338
Oklahoma,94,36,25,4,2,1,55,2567,2323,1232,905,256,0,0,1090,1275
Texas,326,155,113,33,5,4,171,20845,18610,9201,6275,2323,551,92,9429,9038
West South Central — Division total,656,309,216,74,13,6,347,45272,40484,20932,14133,4331,1288,490,20162,19569
Mountain — Division total (8 states aggregated),448,223,142,69,9,3,225,19037,16719,8504,5997,2123,193,291,8115,8200
