Type of litigation,Total — all courts / Number decided,Total — all courts / Court determination / Upholding Board position,Total — all courts / Court determination / Contrary to Board position,In courts of appeals / Number decided,In courts of appeals / Court determination / Upholding Board position,In courts of appeals / Court determination / Contrary to Board position,In district courts / Number decided,In district courts / Court determination / Upholding Board position,In district courts / Court determination / Contrary to Board position
Totals — all types,51,49,2,11,10,1,40,39,1
NLRB-initiated actions,10,10,0,0,0,0,10,10,0
To enforce subpena,5,5,0,0,0,0,5,5,0
To restrain disposition of assets by respondent,1,1,0,0,0,0,1,1,0
To defend Board's jurisdiction,4,4,0,0,0,0,4,4,0
Action by other parties,41,39,2,11,10,1,30,29,1
To restrain NLRB from,13,13,0,2,2,0,11,11,0
Proceeding in R case,5,5,0,0,0,0,5,5,0
Proceeding in unfair labor practice case,6,6,0,2,2,0,4,4,0
Proceeding in backpay case,2,2,0,0,0,0,2,2,0
Other,0,0,0,0,0,0,0,0,0
To compel NLRB to,28,26,2,9,8,1,19,18,1
Issue complaint,4,4,0,1,1,0,3,3,0
Seek injunction,4,4,0,0,0,0,4,4,0
Take action in R case,0,0,0,0,0,0,0,0,0
Other,7,5,2,0,0,0,7,5,2
Other (top-level),9,9,0,4,4,0,5,5,0
