row_label,Object class,Amount
Personnel compensation,Personnel compensation,41188507
Personnel benefits,Personnel benefits,3762290
Travel and transportation of persons,Travel and transportation of persons,2548528
Transportation of things,Transportation of things,82814
"Rent, communications, and utilities","Rent, communications, and utilities",1888742
Printing and reproduction,Printing and reproduction,688613
Other services,Other services,4103893
Supplies and materials,Supplies and materials,484628
Equipment,Equipment,334915
Insurance claims and indemnities,Insurance claims and indemnities,54368
"Subtotal, obligations and expenditures","Subtotal, obligations and expenditures",55137298
Transferred to other accounts,Transferred to other accounts,40743
Total Agency,Total Agency,55178041
Personnel compensation (reimbursable),Personnel compensation,11210
Personnel benefits (reimbursable),Personnel benefits,353
Travel and transportation of persons (reimbursable),Travel and transportation of persons,10
Total obligations and expenditures (reimbursable),Total obligations and expenditures,11573
