row_label,Identification of filing party / Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"RC cases - Pending July 1, 1973",2756,1759,717,124,155,1,
RC cases - Received fiscal 1974,11891,6841,3761,660,575,54,
RC cases - On docket fiscal 1974,14647,8600,4478,784,730,55,
RC cases - Closed fiscal 1974,11436,6611,3632,595,557,41,
"RC cases - Pending June 30, 1974",3211,1989,846,189,173,14,
"RM cases - Pending July 1, 1973",191,,,,,,191
RM cases - Received fiscal 1974,1014,,,,,,1014
RM cases - On docket fiscal 1974,1205,,,,,,1205
RM cases - Closed fiscal 1974,948,,,,,,948
"RM cases - Pending June 30, 1974",257,,,,,,257
"RD cases - Pending July 1, 1973",226,0,0,0,0,226,
RD cases - Received fiscal 1974,1177,7,5,0,2,1163,
RD cases - On docket fiscal 1974,1403,7,5,0,2,1389,
RD cases - Closed fiscal 1974,1158,6,5,0,0,1147,
"RD cases - Pending June 30, 1974",245,1,0,0,2,242,
