row_label,Action taken,Total all,Employer Total,Employer Informal settlement,Employer Formal settlement,Employer Recommendation of administrative law judge,Employer Board,Employer Court,Union Total,Union Informal settlement,Union Formal settlement,Union Recommendation of administrative law judge,Union Board,Union Court
B. By number of employees affected,B. By number of employees affected,,,,,,,,,,,,,
"Employees offered reinstatement, total","Employees offered reinstatement, total",4778,4778,3102,554,16,511,595,,,,,,
Accepted,Accepted,2828,2828,1911,330,16,275,296,,,,,,
Declined,Declined,1950,1950,1191,224,0,236,299,,,,,,
Employees placed on preferential hiring list,Employees placed on preferential hiring list,333,333,284,17,0,3,29,,,,,,
Hiring hall rights restored,Hiring hall rights restored,38,,,,,,,38,26,2,0,8,2
Objections to employment withdrawn,Objections to employment withdrawn,100,,,,,,,100,75,6,0,11,8
"Employees receiving backpay, from either employer or union","Employees receiving backpay, from either employer or union",7935,6794,3868,816,27,821,1262,241,121,92,0,19,9
From both employer and union,From both employer and union,6,6,4,0,0,2,0,6,,,,,
"Employees reimbursed for fees, dues, and fines","Employees reimbursed for fees, dues, and fines",1998,730,20,0,149,,,1702,1524,6,0,27,145
From both employer and union,From both employer and union,171,171,43,0,95,0,33,171,,,,,
C. By amounts of monetary recovery,C. By amounts of monetary recovery,8441580,8205840,4204550,717690,12030,342990,2928580,336090,223940,27570,0,37200,42380
"Backpay (includes all monetary payments except fees, dues, and fines)","Backpay (includes all monetary payments except fees, dues, and fines)",8345580,8158100,4174590,713890,12030,334320,2921770,249790,199140,27400,0,5050,28190
"Reimbursement of fees, dues, and fines","Reimbursement of fees, dues, and fines",96000,47740,29960,3800,0,8670,7310,46350,24800,170,0,7200,14120
