row_label,Method and stage of disposition,All C cases Number,All C cases Percent of total closed by method,CA cases Number,CA cases Percent of total closed,CB cases Number,CB cases Percent of total closed,CC cases Number,CC cases Percent of total closed,CD cases Number,CD cases Percent of total closed,CE cases Number,CE cases Percent of total closed,CP cases Number,CP cases Percent of total closed
Total number of cases closed,Total number of cases closed,27016,100.0,17397,100.0,6653,100.0,1994,100.0,622,100.0,90,100.0,520,100.0
Agreement of the parties,Agreement of the parties,6646,24.6,4327,25.0,1250,19.2,887,44.5,1,0,17,18.8,163,31.0
Informal settlement,Informal settlement,6331,23.5,4183,24.2,1138,18.2,820,41.1,1,0,16,17.8,144,26.7
Before issuance of complaint,Before issuance of complaint,4576,16.9,2982,17.3,784,11.8,649,32.5,0,0,10,11.1,121,22.3
"After issuance of complaint, before opening of hearing","After issuance of complaint, before opening of hearing",1636,6.1,1088,6.3,335,5.4,163,8.2,1,0,6,6.7,23,4.4
"After hearing opened, before issuance of administrative law judge's decision","After hearing opened, before issuance of administrative law judge's decision",189,0.7,113,2.8,112,1.7,67,1.0,0,0,0,0,0,0
Formal settlement,Formal settlement,285,1.1,144,0.8,108,1.0,67,3.4,0,0,1,1.1,19,4.3
"After issuance of complaint, before opening of hearing","After issuance of complaint, before opening of hearing",237,0.9,133,0.8,60,0.9,53,2.7,0,0,1,1.1,11,2.1
Stipulated decision Consent decree,Stipulated decision Consent decree,58,0.2,32,0.2,30,0.4,8,0.4,0,0,0,0,0,0
After hearing opened,After hearing opened,48,0.2,11,0.0,18,0.0,14,0.7,0,0,0,0,0,0
Stipulated decision Consent decree (after hearing opened),Stipulated decision Consent decree (after hearing opened),9,0.0,1,0.0,0,0,3,0.0,0,0,0,0,3,1.9
Compliance with,Compliance with,1105,4.1,872,5.1,167,2.6,44,2.2,1,0,6,6.7,15,2.9
Administrative law judge's decision,Administrative law judge's decision,28,0.1,22,0.1,2,0.0,1,0.0,0,0,0,0,3,0.7
Board decision,Board decision,709,2.6,570,3.3,98,1.4,26,1.3,0,0,0,0,6,1.7
