Type of Election,All R elections / Elections conducted / Total elections,All R elections / Elections conducted / Withdrawn or dismissed before certification,All R elections / Elections conducted / Resulting in a rerun or runoff,All R elections / Elections conducted / Resulting in certification,RC elections / Elections conducted / Total elections,RC elections / Elections conducted / Withdrawn or dismissed before certification,RC elections / Elections conducted / Resulting in a rerun or runoff,RC elections / Elections conducted / Resulting in certification,RM elections / Elections conducted / Total elections,RM elections / Elections conducted / Withdrawn or dismissed before certification,RM elections / Elections conducted / Resulting in a rerun or runoff,RM elections / Elections conducted / Resulting in certification,RD elections / Elections conducted / Total elections,RD elections / Elections conducted / Withdrawn or dismissed before certification,RD elections / Elections conducted / Resulting in a rerun or runoff,RD elections / Elections conducted / Resulting in certification
All types,9112,81,173,8858,8731,75,162,7994,383,5,4,374,498,1,7,490
Rerun required,,,133,,,,123,,,,3,,,,7,
Runoff required,,,40,,,,39,,,,1,,,,0,
Consent elections,1301,8,35,1258,1132,7,1119,71,0,0,0,69,98,1,0,97
Rerun required,,,6,,,,5,,,,0,,,,1,
Runoff required,,,0,,,,0,,,,0,,,,0,
Stipulated elections,6133,47,121,5965,5690,48,116,5445,205,0,3,202,238,0,2,233
Rerun required,,,97,,,,90,,,,2,,,,5,
Runoff required,,,26,,,,26,,,,1,,,,0,
Regional director-directed,1599,23,60,1536,1447,21,55,1388,54,2,1,51,98,0,1,97
Rerun required,,,50,,,,45,,,,1,,,,1,
Runoff required,,,10,,,,10,,,,0,,,,0,
Board-directed,47,1,1,45,39,0,1,38,5,1,0,4,3,0,0,3
Rerun required,,,1,,,,1,,,,0,,,,0,
Runoff required,,,0,,,,0,,,,0,,,,0,
Expedited-Sec. 8(b)(7)(C),32,2,0,,23,0,0,,9,,,,,,,
Rerun required,,,,,,,,,,,,,,,,
Runoff required,,,,,,,,,,,,,,,,
