Participating unions,Total elections,Elections won by unions / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections in which no representative chosen / Other local unions,Employees eligible to vote / Elections in which no representative chosen,Employees eligible to vote / Total,Employees eligible to vote / Total,Employees eligible to vote / AFL-CIO unions,Employees eligible to vote / Teamsters,Employees eligible to vote / Other national unions,In elections in which no representative chosen / Other local unions,In elections in which no representative chosen
AFL-CIO,283,27 9,79,79,,,,204,13920,6639,6639,,,,7281
Teamsters,150,25 3,38,,38,,,112,8732,2617,,2617,,,3315
Other national unions,19,42 1,8,,,8,,11,747,378,,,378,,369
Other local unions,10,30 0,2,,,,2,8,186,188,,,,33,153
1-union elections,462,27 5,127,79,38,8,2,335,21172,9820,6639,2617,378,188,11352
AFL-CIO v. AFL-CIO,1,100 0,1,1,,,,0,21,21,21,,,,0
AFL-CIO v. Teamsters,18,87 5,16,8,8,,,2,2407,1360,356,998,,,9
AFL-CIO v. national,4,75 0,3,2,,1,,1,1557,1528,1396,,132,,29
AFL-CIO v. local,1,100 0,1,,,,1,0,120,120,,,,44,0
Teamsters v. national,1,100 0,1,,1,,,0,147,147,,147,,,0
Teamsters v. local,1,100 0,1,,1,,,0,121,121,,121,,,0
National v. national,1,100 0,1,,,1,,0,30,30,,,30,,0
2-union elections,27,88 9,24,12,8,2,2,3,3502,3384,2070,1176,64,74,118
AFL-CIO v. Teamsters v. local,1,100 0,1,1,,,,0,23,23,23,,,,0
3 (or more)-union elections,1,100 0,1,1,,,,0,23,23,23,,,,0
Total RD elections,490,31 0,152,91,47,10,4,338,24697,13227,8709,3816,440,262,11470
