Participating unions,Total valid votes cast,Valid votes cast in elections won / Total votes for unions / Total,Valid votes cast in elections won / Votes for unions / AFL-CIO unions,Valid votes cast in elections won / Votes for unions / Teamsters,Valid votes cast in elections won / Votes for unions / Other national unions,Valid votes cast in elections won / Votes for unions / Other local unions,Valid votes cast in elections won / Total votes for no union,Valid votes cast in elections lost / Total votes for unions / Total,Valid votes cast in elections lost / Votes for unions / AFL-CIO unions,Valid votes cast in elections lost / Votes for unions / Teamsters,Valid votes cast in elections lost / Votes for unions / Other national unions,Valid votes cast in elections lost / Votes for unions / Other local unions,Valid votes cast in elections lost / Total votes for no union
AFL-CIO,288073,61561,61561,,,,66445,66445,66445,,,,128338
Teamsters,76136,18969,,18969,,,8311,16729,,16729,,,32427
Other national unions,20427,8016,,,8016,,,9000,,,9000,,17286
Other local unions,11584,2739,,,,2739,,3078,,,,3078,5767
1-union elections,416272,90385,61561,18969,8016,2739,45178,96161,66445,16729,9009,3078,183948
AFL-CIO v. AFL-CIO,14866,4496,4496,,,,742,3380,3380,,,,6248
AFL-CIO v. Teamsters,10311,5360,,,,,903,,,1577,,,1038
AFL-CIO v. national,4238,2302,880,,1422,,163,768,367,,401,,1005
AFL-CIO v. local,1071,,,,,,4862,402,,,,,1316
Teamsters v. national,1720,1073,,371,,,,147,,55,,,
Teamsters v. local,1665,,,1536,,,,108,,,,,388
Teamsters v. Teamsters,303,303,,,153,,,,,,,,
National v. national,359,,,,,,884,527,,,,,
Local v. local,1261,1261,,,,1265,60,,,,,,
2-union elections,61063,34853,16503,7420,2867,7954,2674,8702,5826,1670,477,729,14834
(3 or more) union elections,5070,4259,873,49,1228,2160,247,296,72,18,20,186,47944
Total representation elections,482414,130127,79037,26247,12101,12744,47944,105159,72531,18485,10366,3807,199174
