Division and State,Total elections,Total with rep chosen,AFL-CIO unions,Teamsters,Other national unions,Other local unions,col_7,Number of employees eligible,Valid votes cast,Total valid for unions,AFL-CIO unions votes,Teamsters votes,Other national votes,Other local votes,Votes for no union,Eligible in choosing-rep units
East South Central (subtotal),500,232,136,78,13,5,277,54386,49755,24638,15807,6310,1952,417,25119,22159
"Per-state detail (KY, TN, AL, MS)",,,,,,,,,,,,,,,,
West South Central (subtotal),599,290,208,55,16,5,309,49201,43010,21402,15556,3562,1983,228,21608,20165
"Per-state detail (AR, LA, OK, TX)",,,,,,,,,,,,,,,,
Mountain (subtotal),491,260,134,112,5,9,231,20302,17762,8531,4679,2860,169,313,9231,8773
"Per-state detail (MT, ID, WY, CO, NM, AZ, UT, NV)",,,,,,,,,,,,,,,,
Pacific (subtotal),1568,792,445,277,41,29,776,60106,56461,26326,17260,7068,1887,1073,26861,24037
"Per-state detail (WA, OR, CA, AK, HI)",,,,,,,,,,,,,,,,
"Outlying areas (subtotal — PR, VI)",192,108,94,11,3,0,84,17625,15327,8600,4498,2709,1357,36,6727,7209
"Total, all States and areas",8858,4535,2553,1464,309,206,4323,468159,,,94587,,,44682,,247108
