Standard Federal Regions,Total elections,Total with rep chosen,AFL-CIO unions,Teamsters,Other national unions,Other local unions,col_7,Number of employees eligible to vote,Total valid votes cast,Total valid for unions,AFL-CIO votes,Teamsters votes,Other national votes,Other local votes,Votes for no union,Eligible in choosing-rep units
Region I (subtotal),457,236,124,88,12,12,221,23587,21266,10018,6475,1736,1139,668,11248,7138
"Per-state detail Region I (CT, ME, MA, NH, RI, VT)",,,,,,,,,,,,,,,,
Region II (subtotal),1034,540,278,169,37,56,494,85581,,,15225,,,1848,,
"Per-state detail Region II (NJ, NY, PR, VI)",,,,,,,,,,,,,,,,
Region III (subtotal),807,441,243,158,19,21,436,62417,55282,28728,18462,4074,2901,2301,26524,25193
"Per-state detail Region III (DE, DC, MD, PA, VA, WV)",,,,,,,,,,,,,,,,
Region IV (subtotal),1020,446,279,140,19,8,574,115375,107496,48248,33594,9661,2154,839,59232,34627
"Per-state detail Region IV (AL, FL, GA, KY, MS, NC, SC, TN)",,,,,,,,,,,,,,,,
Region V (subtotal),2180,1093,581,351,128,33,1087,115762,102845,48736,27633,8322,9814,2967,53909,40428
"Per-state detail Region V (IL, IN, MI, MN, OH, WI)",,,,,,,,,,,,,,,,
