Standard Federal Regions,Total elections,Total with rep chosen,AFL-CIO unions,Teamsters,Other national unions,Other local unions,col_7,Employees eligible,Valid votes cast,Total valid for unions,AFL-CIO votes,Teamsters votes,Other national votes,Other local votes,Votes for no union,Eligible in choosing-rep units
Region VI (subtotal),607,315,228,62,17,8,292,52077,45475,22418,16906,3228,1956,328,23058,20541
"Per-state detail Region VI (AR, LA, NM, OK, TX)",,,,,,,,,,,,,,,,
Region VII (subtotal),506,256,177,62,10,7,250,30052,27584,13217,8353,4313,447,104,14367,13242
"Per-state detail Region VII (IA, KS, MO, NE)",,,,,,,,,,,,,,,,
Region VIII (subtotal),259,146,82,53,4,7,113,13997,12377,6012,3096,1790,413,175,6365,5917
"Per-state detail Region VIII (CO, MT, ND, SD, UT, WY)",,,,,,,,,,,,,,,,
Region IX (subtotal),1077,536,299,184,31,20,541,51716,48373,22094,14353,5477,1664,596,23381,20484
"Per-state detail Region IX (AZ, CA, HI, NV)",,,,,,,,,,,,,,,,
Region X (subtotal),656,345,154,152,32,9,311,14399,12410,6883,3360,2072,788,366,6077,6549
"Per-state detail Region X (AK, ID, OR, WA)",,,,,,,,,,,,,,,,
"Total, all Federal regions",8858,4535,2553,1464,309,224,4323,,,,,,,,,
