row_label,Fiscal year 1974 / Number of proceedings / Total,Fiscal year 1974 / Number of proceedings / V. employers only,Fiscal year 1974 / Number of proceedings / V. unions only,Fiscal year 1974 / Number of proceedings / V. both employers and unions,Fiscal year 1974 / Number of proceedings / Board dismissal,Fiscal year 1974 / Percentages / V. employers only,Fiscal year 1974 / Percentages / V. unions only,Fiscal year 1974 / Percentages / V. both employers and unions,Fiscal year 1974 / Percentages / Board dismissal,"July 5, 1935 - June 30, 1974 / Number","July 5, 1935 - June 30, 1974 / Percent"
Proceedings decided by U.S. courts of appeals,318,262,50,2,4,,,,,5697,
On petitions for review and/or enforcement,298,250,42,2,4,100.0,100.0,100.0,100.0,5544,82.2
Board orders affirmed in full,220,190,35,2,,76.0,83.3,100.0,,3344,62.2
Board orders affirmed with modifications,36,26,2,,,9.6,4.8,,,240,4.3
Remanded to Board,12,10,1,,1,,,,25.0,243,4.3
Board orders partially affirmed and partially remanded,1,1,,,,,,,,78,1.4
Board orders set aside,29,25,4,,,,9.5,,,847,14.9
On petitions for contempt,20,12,8,,,100.0,100.0,,,,
"Compliance secured after filing of petition, before court order",11,9,2,,,75.0,25.0,,,,
Court orders holding respondent in contempt,8,3,5,,,25.0,75.0,,,,
Court orders denying petition,1,,1,,,,,,,,
Proceedings decided by U.S. Supreme Court,6,5,1,,,100.0,100.0,,,206,
Board orders affirmed in full,2,2,,,,40.0,,,,122,59.2
Board orders affirmed with modification,1,1,,,,,,,,15,7.2
Board orders set aside,2,1,1,,,,100.0,,,38,18.4
Remanded to Board,1,1,,,,,,,,17,8.3
Remanded to Court of appeals,,,,,,,,,,8,3.9
Remanded to Court of appeals for reversal or modification of enforcement order denied,,,,,,,,,,1,0.5
Contempt cases remanded to courts of appeals,,,,,,,,,,5,2.4
Contempt cases remanded,,,,,,,,,,1,0.5
