row_label,Total,Identification of filing party / AFL-CIO Unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"RC cases — Pending July 1, 1974",3211,1989,846,189,173,14,
RC cases — Received fiscal 1975,11037,6358,3154,591,824,110,
RC cases — On docket fiscal 1975,14248,8347,4000,780,997,124,
RC cases — Closed fiscal 1975,11275,6478,3364,597,745,91,
"RC cases — Pending June 30, 1975",2973,1869,636,183,252,33,
"RM cases — Pending July 1, 1974",257,,,,,,257
RM cases — Received fiscal 1975,880,,,,,,880
RM cases — On docket fiscal 1975,1137,,,,,,1137
RM cases — Closed fiscal 1975,898,,,,,,898
"RM cases — Pending June 30, 1975",239,,,,,,239
"RD cases — Pending July 1, 1974",245,1,0,0,2,242,
RD cases — Received fiscal 1975,1166,9,3,1,8,1145,
RD cases — On docket fiscal 1975,1411,10,3,1,10,1387,
RD cases — Closed fiscal 1975,1152,10,3,1,9,1129,
"RD cases — Pending June 30, 1975",259,0,3,0,1,258,
