Action taken,Total all,Remedial action taken by- / Employer / Total,Remedial action taken by- / Employer / Pursuant to- / Agreement of parties / Informal settlement,Remedial action taken by- / Employer / Pursuant to- / Agreement of parties / Formal settlement,Remedial action taken by- / Employer / Pursuant to- / Recommendation of administrative law judge,Remedial action taken by- / Employer / Pursuant to- / Order of- / Board / Court,Remedial action taken by- / Union / Total,Remedial action taken by- / Union / Pursuant to- / Agreement of parties / Informal settlement,Remedial action taken by- / Union / Pursuant to- / Agreement of parties / Formal settlement,Remedial action taken by- / Union / Pursuant to- / Recommendation of administrative law judge,Remedial action taken by- / Union / Pursuant to- / Order of- / Board / Court
A By number of cases involved-,8044,,,,,,,,,,
Notice posted,3470,2826,1946,100,2,525,253,1144,752,113,
Recognition or other similar union withdrawn,60,60,39,,,8,13,,,180,90
Employer disestablished,33,33,24,,,9,,,,,
Employee offered reinstatement,1532,1532,1035,36,,286,175,,,,
Employees placed on preferential hiring list,46,46,33,,,6,7,,,,
Hiring hall rights restored,91,91,82,1,,8,,,,,
Objections to employment withdrawn,61,,,,,,,61,38,1,18
Picketing ended,599,,,,,,,607,599,,4
Work stoppage ended,199,,,,,,,199,199,,
Collective bargaining begun,1466,1466,1212,31,1,127,95,,,,
Backpay distributed,2249,2070,1586,72,,207,155,179,120,29,17
"Reimbursement of fees, dues, and fines",204,132,91,1,,8,20,142,56,20,
Conditions of employment improved,1718,1086,1073,1,,8,20,632,627,1,
Other remedies,37,25,,,,,,,,,
