Participating unions,Total elections,Elections won by unions / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections in which no representative chosen / Other local unions,Employees eligible to vote,Employees eligible to vote / Total,Employees eligible to vote / In elections won by,Employees eligible to vote / In units won by / AFL-CIO unions,Employees eligible to vote / In units won by / Teamsters,Employees eligible to vote / In units won by / Other national unions,In elections where no representative chosen / In units won by / Other local unions,col_15
AFL-CIO v. AFL-CIO v. national v. local,1,100.0,1,1,0,0,0,0,234,234,234,0,0,0,0
All others,2,100.0,2,,,,,0,335,335,,62,,273,0
3 (or more)-union elections,27,88.9,24,11,5,5,3,3,6693,4681,1953,1125,870,1012,1673
Total representation elections,8577,48.2,4138,2420,1182,259,268,4439,566520,218281,130444,32113,21147,34067,350589
B. Elections in RC cases,,,,,,,,,,,,,,,
1-union elections (RC),7137,48.6,3470,2004,1023,208,175,3667,446188,138631,90634,23461,16024,8502,307557
RC,,,,,,,,,,,,,,,
2-union elections (RC),546,74.5,407,211,84,30,77,139,82500,61178,28348,5515,3341,24055,21322
Additional,,,,,,,,,,,,,,,
3 (or more)-union elections (RC),26,88.5,23,7,5,5,,3,5588,3915,1187,1125,,,1673
Total RC elections,7729,50.4,3900,2222,1115,243,265,3829,533576,204024,120169,30101,19969,33785,329552
