row_label,col_1,Total proceedings,"Injunction proceedings / Pending in district court July 1, 1974",Injunction proceedings / Filed in district court fiscal year 1975,Total dispositions,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,Disposition of injunctions / Dismissed,Disposition of injunctions / Inactive,"Pending in district court June 30, 1975"
"Under sec. 10(j), total",25,4,21,20,6,1,4,,4,5,5,
"8(a)(1), 8(a)(2)",3,1,2,2,,,,,,2,1,1
"8(a)(1), 8(a)(3)",5,1,4,4,,,,,3,,1,1
"8(a)(1), 8(a)(5)",1,,1,,,,,,,,,1
"8(b)(1), 8(b)(3)",1,,1,1,,,1,,,,,
8(b)(3),5,,5,3,2,,1,,,,,2
8(b)(7),3,,3,2,1,,1,,,,,1
"Under sec. 10(l), total",345,29,316,333,98,15,133,43,26,18,,12
8(b)(4)(A),21,1,20,17,3,3,7,1,3,,,4
8(b)(4)(B),184,16,168,177,49,5,76,23,13,11,,7
8(b)(4)(D),,,,,,,,,,,,
"8(b)(4)(B), 8(b)(7)(B)",1,,1,1,,,,,,,,
8(b)(7)(A),1,,1,1,,,,,,,,
8(b)(7)(B),,,,,,,,,,,,
8(b)(7)(C),77,6,71,77,,,,,,,,
"8(b)(4)(B), 8(e)",,,,,,,,,,,,
8(b)(4)(B)(C),32,2,30,31,10,,12,,2,,,1
8(e),10,,,,,,,,,,,
