Types of formal actions taken,Cases on which formal actions taken,Formal actions taken by type of case / Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / CD Jurisdictional disputes,Formal actions taken by type of case / CD Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CG,Formal actions taken by type of case / CP,Formal actions taken by type of case / CA combined with CB,Formal actions taken by type of case / Combined with representation cases,Other C combinations
10(k) notices of hearings issued,110,92,,,,92,,,,,,,
Complaints issued,4918,3793,2883,362,129,,8,7,32,112,228,123,9
Backpay specifications issued,80,84,80,1,,,,,,,3,,
"Hearings completed, total",1902,1349,920,138,21,88,2,3,1,12,62,78,14
Initial ULP hearings,1811,1288,887,132,21,,2,3,1,12,55,61,14
Backpay hearings,46,31,25,4,,,,,,,2,,
Other hearings,45,30,8,2,,88,,,,,5,17,
"Decisions by administrative law judges, total",1606,1131,812,128,9,,2,2,1,10,52,66,20
Initial ULP decisions,1522,1066,772,124,19,,2,2,1,10,50,66,20
Backpay decisions,51,36,30,4,,,,,,,2,,
Supplemental decisions,33,29,10,,,,,,,,,,
"Decisions and orders by the Board, total",1964,1474,1055,145,42,59,5,,8,17,42,58,31
Upon consent of parties: Initial decisions,211,131,75,20,3,,,,,,8,20,5
Supplemental decisions,11,,,,,,,,,,,,
Adopting administrative law judge's decisions (no exceptions filed): Initial ULP decisions,373,294,229,30,6,,,,,2,13,13,1
Backpay decisions,16,,,,,,,,,,,,
Contested: Initial ULP decisions,1241,953,682,88,15,59,5,,8,13,20,26,25
Decisions based on stipulated record,8,,,,,,,,,,,,
Supplemental ULP decisions,39,,,,,,,,,,,,
Backpay decisions,64,,,,,,,,,,,,
