Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case / Total formal actions taken,Formal actions taken by type of case / RC,Formal actions taken by type of case / RM,Formal actions taken by type of case / RD,Formal actions taken by type of case / UD
"Hearings completed, total",2694,2460,2217,107,136,6
Initial hearings,2357,2143,1919,98,126,4
Hearings on objections and/or challenges,337,317,298,9,10,2
"Decisions issued, total",2551,2347,2105,98,144,7
By regional directors,2282,2113,1894,84,135,6
Elections directed,1997,1845,1667,67,111,6
Dismissals on record,285,268,227,17,24,0
By Board,269,234,211,14,9,1
Transferred by regional directors for initial decision,147,122,108,10,4,0
Elections directed,107,91,82,6,3,0
Dismissals on record,40,31,26,4,1,0
Review of regional directors' decisions: Requests for review received,652,588,528,30,30,2
Withdrawn before request ruled upon,16,16,15,0,1,0
"Board action on requests ruled upon, total",599,536,481,29,26,2
Granted,101,95,83,5,7,0
Denied,494,437,395,24,18,2
Remanded,4,4,3,0,1,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",121,112,103,4,5,0
Regional directors' decision: Affirmed,50,45,41,2,2,0
Modified,35,32,29,1,2,0
Reversed,36,35,33,1,1,0
Outcome: Election directed,98,90,84,2,4,0
Outcome: Dismissals on record,23,22,19,2,1,0
