Industrial group,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Food and kindred products,2303,1575,1133,438,3,1,,,,709,593,33,73,10,,13
Tobacco manufacturers,32,30,21,8,1,,,,,2,,,,,,
Textile mill products,476,353,283,61,3,5,,1,,120,109,9,1,,,3
Apparel and other finished products made from fabric and similar materials,587,434,307,111,8,,,8,,151,129,9,13,,,3
Lumber and wood products (except furniture),743,442,381,67,9,1,3,1,,292,245,15,32,4,,5
Furniture and fixtures,479,329,257,62,4,,,1,,139,129,5,5,5,,1
Paper and allied products,611,424,286,120,5,9,,4,,171,149,4,18,7,,3
"Printing, publishing, and allied products",1437,1007,740,247,14,6,,,,403,307,26,70,7,3,17
Chemicals and allied products,936,613,450,137,23,2,,1,,302,253,13,36,10,,11
Petroleum refining and related industries,361,265,180,65,15,2,1,2,,93,79,7,7,1,,2
Rubber and miscellaneous plastic products,809,494,407,65,18,2,,4,,305,270,8,27,3,,7
Leather and leather products,183,112,78,31,1,,,2,,67,57,1,9,,,4
"Stone, clay, glass, and concrete products",993,722,502,196,32,11,,11,,230,223,12,24,3,,8
Primary metal industries,1736,1369,882,482,17,4,,4,,352,294,16,42,9,,6
Fabricated metal products (except machinery and transportation equipment),1751,1206,983,183,31,16,2,9,,528,450,19,59,8,,8
Machinery (except electrical),2028,1400,1067,262,44,11,,9,,595,509,18,68,8,4,15
"Electrical and electronic machinery, equipment, and supplies",1452,1078,781,272,13,7,1,4,,356,307,13,46,8,,5
Aircraft and parts,268,236,138,92,10,2,,,,27,20,3,4,5,,
"Ship and boat building and repairing, Automotive and other transportation equipment",257,207,149,56,2,,,,,,,,,,,
(Subtotal/aggregate transportation eq. row),1338,1028,669,330,6,9,2,8,,291,256,8,23,2,,9
"Measuring, analyzing, and controlling instruments, photographic, medical, and optical goods, watches and clocks",281,178,139,33,3,1,,2,,94,83,1,10,4,,5
Miscellaneous manufacturing industries,1228,948,569,373,6,,,,,341,311,11,19,5,,133
Manufacturing,20432,14308,10242,3807,262,98,8,76,,5469,4803,242,624,90,32,133
