Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Maine,174,81,62,18,3,,,,,91,85,1,5,1,,1
New Hampshire,101,65,53,9,3,,,,,35,30,2,3,,1,
Vermont,43,24,23,,1,,,,,19,17,,2,,,
Massachusetts,1489,1044,792,200,46,5,1,,,415,382,16,17,12,4,14
Rhode Island,160,107,85,21,1,,,,,51,39,6,6,,,2
Connecticut,513,357,261,79,13,2,,2,,149,129,13,7,,,
New England,2480,1678,1278,323,52,7,3,2,,760,684,38,40,17,5,20
New York,4433,3051,1722,865,153,63,19,13,8,1328,1160,89,79,20,10,24
New Jersey,1662,1130,663,327,70,24,8,5,,509,402,44,44,12,2,
Pennsylvania,3066,2150,1446,649,61,8,9,16,,832,771,4,57,12,,72
Middle Atlantic,9131,6331,3831,1841,338,115,32,18,8,2669,2333,131,187,44,11,96
Ohio,3321,2383,1640,501,103,72,1,13,,899,773,46,80,23,2,14
Indiana,2098,1641,1139,457,23,10,1,12,,435,371,13,51,13,1,8
Illinois,3076,2027,1985,735,126,27,13,12,45,719,585,43,91,14,5,10
Michigan,2332,1430,1091,257,58,9,,2,,770,647,25,98,17,2,12
Wisconsin,1077,700,514,150,24,4,1,10,3,352,285,19,50,6,1,8
East North Central,12094,8184,6069,2180,335,73,10,29,88,3175,2659,146,370,58,15,62
Iowa,459,271,193,44,29,3,,2,,188,176,2,10,,,
Minnesota,690,375,258,63,30,7,,1,,300,256,19,25,5,2,8
Missouri,1755,1345,922,298,66,37,1,20,1,388,335,9,44,8,,14
North Dakota,83,47,35,10,2,,,,,33,31,,2,1,,2
South Dakota,56,29,19,3,3,4,,,,26,23,2,1,,,1
Nebraska,237,168,140,20,5,1,,2,,67,62,1,4,,,2
Kansas,388,274,208,54,10,,,2,,98,83,5,10,6,,1
West North Central,3665,2494,1762,441,199,39,1,30,1,1138,955,50,124,18,1,18
Delaware,106,73,50,10,13,,,,,30,27,,3,,,
Maryland,754,496,359,92,38,5,,2,,240,215,5,20,5,2,11
District of Columbia,294,192,133,52,12,,,,,80,72,2,6,1,,
