row_label,Count
Total Board decisions,2887
Contested decisions,1848
Unfair labor practice decisions,1127
Initial (includes those based on stipulated record),1020
Supplemental,16
Backpay,46
Determinations in jurisdictional disputes,45
Representation decisions,700
After transfer by regional directors for initial decision,79
After review of regional director decisions,108
On objections and/or challenges,513
Other decisions,21
Clarification of bargaining unit,16
Amendment to certification,2
Union-deauthorization,3
Noncontested decisions,1039
Unfair labor practice,469
Representation,563
Other,7
