row_label,col_1,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
All cases,,,,,,,,
"Pending July 1, 1976",All cases,17996,7055,2024,618,809,5532,1958
Received 19TQ,All cases,13011,4243,1655,314,393,4883,1523
On docket 19TQ,All cases,31007,11298,3679,932,1202,10415,3481
Closed 19TQ,All cases,11834,3879,1514,306,419,4441,1275
"Pending Sept. 30, 1976",All cases,19173,7419,2165,626,783,5974,2206
"Pending July 1, 1976",Unfair labor practice cases,13259,4760,950,426,391,5026,1592
Received 19TQ,Unfair labor practice cases,9200,2534,718,168,181,4376,1223
On docket 19TQ,Unfair labor practice cases,22459,7294,1782,594,572,9402,2815
Closed 19TQ,Unfair labor practice cases,8203,2204,634,167,177,4005,1016
"Pending Sept. 30, 1976",Unfair labor practice cases,14256,5090,1148,427,395,5397,1799
"Pending July 1, 1976",Representation cases,4476,2232,950,185,407,411,291
Received 19TQ,Representation cases,3628,1665,932,144,202,424,261
On docket 19TQ,Representation cases,8104,3897,1882,329,609,835,552
Closed 19TQ,Representation cases,3466,1634,874,136,232,371,219
"Pending Sept. 30, 1976",Representation cases,4638,2263,1008,193,377,464,333
"Pending July 1, 1976",Union-shop deauthorization cases,84,,,,,84,
Received 19TQ,Union-shop deauthorization cases,79,,,,,79,
On docket 19TQ,Union-shop deauthorization cases,163,,,,,163,
Closed 19TQ,Union-shop deauthorization cases,61,,,,,61,
"Pending Sept. 30, 1976",Union-shop deauthorization cases,102,,,,,102,
Amendment of certification cases,Amendment of certification cases,,,,,,,
Unit clarification cases,Unit clarification cases,,,,,,,
