row_label,Total rerun elections / Number,Total rerun elections / Percent by type,Union certified / Number,Union certified / Percent by type,No union chosen / Number,No union chosen / Percent by type,Outcome of original election reversed / Number,Outcome of original election reversed / Percent by type
All representation elections,28,100.0,10,35.7,18,64.3,5,17.9
By type of case,,,,,,,,
RC cases,28,100.0,10,35.7,18,64.3,5,17.9
RM cases,0,,0,,0,,0,
RD,0,,0,,0,,0,
By type of election,,,,,,,,
Consent elections,0,,0,,0,,0,
Stipulated elections,21,100.0,7,33.3,14,66.7,3,14.3
Expedited elections,0,,0,,0,,0,
Regional director-directed elections,7,100.0,3,42.9,4,57.1,2,28.6
Board-directed elections,0,,0,,0,,0,
