Participating unions,Total valid votes cast,Valid votes cast in elections won total,Votes for unions Total,AFL-CIO unions,Teamsters,Other national,Other local,Total votes for no union,Valid votes cast in elections lost total,Votes for unions Total,AFL-CIO,Teamsters,Other national,Other local,Total votes for no union
A. All representation elections,,,,,,,,,,,,,,,
AFL-CIO,69455,14655,14655,14655,,,,7387,16125,16125,16125,,,,31419
Teamsters,20954,4104,4104,,4104,,,2151,4765,4765,,4765,,,9934
Other national unions,10866,1015,1015,,,1015,,725,3003,3003,,,3003,,6123
Other local unions,5699,2628,2628,,,,2628,1230,548,548,,,,316,4232
1-union elections,106974,22972,14655,14655,4104,1015,2628,11493,24470,16125,16125,4765,3003,,48253
2-union elections,18030,13873,7236,501,382,0,5262,509,1346,676,474,224,32,,2303
AFL-CIO v AFL-CIO,65,65,65,65,,,,0,0,,,,,,
Other 2-union,,,,,,,,,,,,,,,
3 (or more)-union elections,1158,405,240,166,,,,41,165,66,,,,,427
Total all representation elections,126162,37250,22131,15099,4486,1807,8118,11903,26027,16782,,5404,3293,348,50902
