Participating unions,Total valid votes cast,Valid votes cast in elections won total,Votes for unions Total,AFL-CIO,Teamsters,Other national,Other local,Total votes for no union,Valid votes cast in elections lost total,Votes for unions Total,AFL-CIO,Teamsters,Other national,Other local,Total votes for no union
C. Elections in RM cases,,,,,,,,,,,,,,,
AFL-CIO (RM),1335,291,291,291,,,,111,295,295,295,,,,628
Teamsters (RM),418,37,37,,37,,,14,74,74,,74,,,293
Other national/local unions,,,,,,,,,,,,,,,
1-union elections (RM),1827,379,291,291,37,0,51,147,372,295,295,74,0,3,929
2-union elections,91,86,57,,,,,29,5,,,,,,
Total RM elections,1918,465,348,,37,,40,176,372,295,295,74,3,,929
D. Elections in RD cases,,,,,,,,,,,,,,,
AFL-CIO (RD),4087,944,944,944,,,,324,883,883,883,,,,1936
Teamsters (RD),1207,258,258,,258,,,140,215,215,,215,,,794
Other national/local unions,,,,,,,,,,,,,,,
1-union elections (RD),6431,1202,944,944,258,0,0,464,1533,881,883,215,,57,3232
2-union elections,1470,1443,845,,,,,27,0,,,,,,
Total RD elections,7901,2645,1789,473,15,368,491,1533,883,215,,378,57,,3232
