row_label,col_1,col_2,col_3,col_4
,,,,"NWOOM.,0W0c0C,004,7.7000c1,0)0... qgco.i4nicvcq....4606600m,-,-tdd00d"
,e'a.4,,,".A452n23554,r4ozt-com-INCom'ma,..o AN. vo;."
§ 4,131,,u70.vDt...r.-MNMM ..N,"""I+ CO CO C'),.' CO CO"
§ 4,5,,v■I at ..N,00.0C-.C.MNMMOOON.0000VNOON00.0
"7, a ig .0 5",PA 4•',CO,"4,:c6C.400 N. ..",CO c4c4c4 CO
"7, a ig .0 5",:Jg g z,,",DWM0.0MOM.0000.000.NO...0.0000",",DWM0.0MOM.0000.000.NO...0.0000"
C,"t›,73 1144",,"oc000n.vr.,r- -4Q6E-6N.cidc3,-;oc73oci -1, 00",
C,,8,.C.C.000NNMC-N=0,CO COO CO 000 at
2 4,,,"4M;1g2,94,1z,NC.,0q7.0C4.1.NO..M0.","4M;1g2,94,1z,NC.,0q7.0C4.1.NO..M0."
0 al,0 al,,"v"",,,t,OMMON..00.00cOM00.00,00 .';`.St7-2088.i885882828-58838888","v"",,,t,OMMON..00.00cOM00.00,00 .';`.St7-2088.i885882828-58838888"
E -8,E -8,8,"LOCA.W,ONNNt,,,c1,.00cCt-no0M.4.MMCOMCONM.0","LOCA.W,ONNNt,,,c1,.00cCt-no0M.4.MMCOMCONM.0"
F7:147,F7:147,8 CO,"RU2'488888' .14 3RT422V`m8K5--""'""","RU2'488888' .14 3RT422V`m8K5--""'"""
15N gE4 z-012,15N gE4 z-012,CO r- .,g §R§Rii WMIUMMARfinE§§,g §R§Rii WMIUMMARfinE§§
"4,2","4,2",,"E§E 54 85■RR.T.,28F,4%8H8888 mom000p v.o,m22.,9 410000,2200049.2.25gRg. 4t 4_C 4C 'RR5S8gR8882?22F'""§U§§§=","E§E 54 85■RR.T.,28F,4%8H8888 mom000p v.o,m22.,9 410000,2200049.2.25gRg. 4t 4_C 4C 'RR5S8gR8882?22F'""§U§§§="
