Type of litigation,Number of proceedings / Total - all courts / Number decided,Court determination / Upholding Board position,Contrary to Board position,In courts of appeals / Number decided,Court determination / Upholding Board position,Contrary to Board position,In district courts / Number decided,Court determination / Upholding Board position,Contrary to Board position
Totals - all types,10,9,1,2,2,0,8,7,1
NLRB-initiated actions or interventions:,2,2,0,0,0,0,2,2,0
To enforce subpena,0,0,0,0,0,0,0,0,0
To prevent discovery against Board,1,1,0,0,0,0,1,1,0
To defend Board's jurisdiction,0,0,0,0,0,0,0,0,0
To lift bankruptcy stay,1,1,0,0,0,0,1,1,0
Action by other parties:,0,0,0,0,0,0,0,0,0
To review R case determination,0,0,0,0,0,0,0,0,0
To review 10(k) determination,0,0,0,0,0,0,0,0,0
To restrain NLRB from:,0,0,0,0,0,0,0,0,0
Proceeding in R case,0,0,0,0,0,0,0,0,0
Proceeding in unfair labor practice case,0,0,0,0,0,0,0,0,0
Proceeding in 10(k) case,0,0,0,0,0,0,0,0,0
To compel NLRB to:,8,7,1,2,2,0,6,5,1
To take action on backpay case,1,1,0,0,0,0,1,1,0
Issue complaint,0,0,0,0,0,0,0,0,0
Take action in R case,1,0,1,1,1,0,0,0,1
Comply with Freedom of Information Act,6,6,0,1,1,0,5,4,0
