row_label,Total,Identification of filing party / AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
"All cases - Pending October 1, 1976",19173,7410,2165,626,783,5974,2206
All cases - Received fiscal 1977,52943,17090,6758,1335,1651,21042,5127
All cases - On docket fiscal 1977,72116,24428,8923,1981,2434,27017,7333
All cases - Closed fiscal 1977,53908,17315,6760,1210,1932,20938,5753
"All cases - Pending September 30, 1977",18208,7113,2163,771,502,6079,1580
"Unfair labor practice cases - Pending October 1, 1976",14256,5090,1008,193,370,5397,1799
Unfair labor practice cases - Received fiscal 1977,37828,10299,3114,710,865,18899,3941
Unfair labor practice cases - On docket fiscal 1977,52084,15389,4282,1137,1260,24296,5740
Unfair labor practice cases - Closed fiscal 1977,37602,10085,2909,602,916,18670,4420
"Unfair labor practice cases - Pending September 30, 1977",14482,5304,1333,535,344,5626,1320
"Representation cases - Pending October 1, 1976",4638,2263,1008,193,377,464,333
Representation cases - Received fiscal 1977,14358,6548,3622,630,751,1820,987
Representation cases - On docket fiscal 1977,18996,8811,4630,823,1128,2284,1320
Representation cases - Closed fiscal 1977,15436,7035,3825,589,979,1910,1098
"Representation cases - Pending September 30, 1977",3560,1776,805,234,149,374,222
"Union-shop deauthorization cases - Pending October 1, 1976",102,,,,,102,
Union-shop deauthorization cases - Received fiscal 1977,305,,,,,305,
Union-shop deauthorization cases - On docket fiscal 1977,407,,,,,407,
Union-shop deauthorization cases - Closed fiscal 1977,332,,,,,332,
"Union-shop deauthorization cases - Pending September 30, 1977",75,,,,,75,
"Amendment of certification cases - Pending October 1, 1976",34,20,2,3,5,1,3
Amendment of certification cases - Received fiscal 1977,65,20,33,2,7,2,19
Amendment of certification cases - On docket fiscal 1977,99,53,2,4,8,11,21
Amendment of certification cases - Closed fiscal 1977,90,49,2,8,7,9,21
"Amendment of certification cases - Pending September 30, 1977",9,4,,,1,2,0
"Unit clarification cases - Pending October 1, 1976",143,46,7,1,7,10,72
Unit clarification cases - Received fiscal 1977,387,129,20,7,12,28,190
Unit clarification cases - On docket fiscal 1977,530,175,27,13,28,35,252
Unit clarification cases - Closed fiscal 1977,448,146,24,12,28,24,214
"Unit clarification cases - Pending September 30, 1977",82,29,3,1,0,4,38
