Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case / Total formal actions taken,RC,RM,RD,UD
"Hearings completed, total",2878,2699,2402,90,207,10
Initial hearings,2505,2344,2067,83,194,6
Hearings on objections and/or challenges,373,355,335,7,13,4
"Decisions issued, total",2545,2409,2135,79,195,10
By regional directors,2342,2222,1961,75,186,9
Elections directed,2020,1922,1700,58,164,6
Dismissals on record,322,300,261,17,22,0
By Board,203,187,174,4,9,1
Transferred by regional directors for initial decision,90,79,72,4,3,1
Elections directed,61,54,51,2,1,1
Dismissals on record,29,25,21,2,2,0
Review of regional directors' decisions,,,,,,
Requests for review received,721,676,625,9,42,2
Withdrawn before request ruled upon,5,5,3,0,2,0
"Board action on requests ruled upon, total",651,609,565,29,15,2
Granted,84,77,71,0,6,0
Denied,562,528,491,29,8,2
Remanded,5,4,3,0,1,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",113,108,102,0,6,0
Regional directors' decision,,,,,,
Affirmed,41,41,39,0,2,0
Modified,30,29,27,0,1,0
Reversed,42,39,36,0,3,0
Outcome:,,,,,,
Election directed,95,92,88,0,4,0
Dismissals on record,18,16,14,0,2,0
