row_label,Participating unions,Total elections,Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections won by unions / Other local unions,Elections in which no representative chosen,Employees eligible to vote / Total,Employees eligible to vote / In elections won,Employees eligible to vote / AFL-CIO unions,Employees eligible to vote / Teamsters,Employees eligible to vote / Other national unions,Employees eligible to vote / Other local unions,Employees in units in which no representative chosen
C. Elections in RM Cases — Continued,,,,,,,,,,,,,,,,
AFL-CIO v. AFL-CIO,4,50.0,2,2,,,,2,102,46,46,,,,,46
AFL-CIO v. National,4,100.0,4,2,,2,,0,92,47,47,,,,,0
AFL-CIO v. Local,5,100.0,5,3,,,2,0,319,229,182,,,,27,0
Teamsters v. National,1,40.0,2,,,2,,3,71,27,,,,27,,
2-union elections (RM subtotal),14,64.3,9,7,,,2,5,584,319,182,2,,27,,
Total RM elections,327,31.5,103,58,35,9,1,224,9764,3532,1881,629,197,825,,6232
D. Elections in RD cases,,,,,,,,,,,,,,,,
AFL-CIO (1-union RD),495,21.4,106,106,,,,389,23574,9436,9436,,,,,14138
Teamsters (1-union RD),269,17.8,48,,48,,,221,6597,1814,,1814,,,,4783
Other national unions (1-union RD),33,39.4,14,,,14,,19,1256,578,,,,578,,578
Other local unions (1-union RD),16,31.3,5,,,,5,11,1032,281,,,,,751,751
1-union elections (RD subtotal),813,21.2,172,106,48,13,5,641,34180,12073,9436,1814,572,751,,21607
2-union elections (RD subtotal),35,88.6,31,12,6,13,,4,7620,6829,2328,3331,,,,1160
AFL-CIO v. Teamsters v. Local,1,100.0,1,,,,1,,40,40,,,,,40,
3 (or more)-union elections,1,100.0,1,,,,1,,40,40,,,,,40,
Total RD elections,849,24.0,204,118,60,20,6,645,41850,19452,11764,5145,572,1951,,22398
