row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won / Total,Valid votes cast in elections won / Votes for unions / AFL-CIO unions,Valid votes cast in elections won / Votes for unions / Teamsters,Valid votes cast in elections won / Votes for unions / Other national unions,Valid votes cast in elections won / Votes for unions / Other local unions,Valid votes cast in elections won / Total votes for no union,Valid votes cast in elections lost / Total,Valid votes cast in elections lost / Votes for unions / AFL-CIO unions,Valid votes cast in elections lost / Votes for unions / Teamsters,Valid votes cast in elections lost / Votes for unions / Other national unions,Valid votes cast in elections lost / Votes for unions / Other local unions,Valid votes cast in elections lost / Total votes for no union
C. Elections in RM cases,,,,,,,,,,,,,,
AFL-CIO (1-union RM),4638,991,991,,,,436,766,766,,,,2445,
Teamsters (1-union RM),1987,385,,385,,,160,354,,354,,,1138,
Other national unions (1-union RM),308,82,,,82,,38,97,,,97,,181,
Other local unions (1-union RM),362,245,,,,245,55,55,,,,55,117,
1-union elections (RM subtotal),7885,1953,991,385,82,545,689,1272,766,354,97,55,3197,
2-union elections (RM subtotal),287,191,135,19,13,24,16,22,10,,,12,32,
Total RM elections,8172,2174,1126,384,95,569,715,1294,776,366,97,55,3989,
D. Elections in RD cases,,,,,,,,,,,,,,
AFL-CIO (1-union RD),20229,5347,5347,,,,2991,3601,3601,,,,8289,
Teamsters (1-union RD),5628,1044,,1044,,,547,1017,,1017,,,3020,
Other national unions (1-union RD),2200,333,,,333,,197,523,,,,523,1147,
Other local unions (1-union RD),1098,462,,,,462,206,100,,,,100,331,
1-union elections (RD subtotal),29155,7186,5347,1044,333,462,3941,5241,3601,1017,523,100,12787,
2-union elections (RD subtotal),6577,5290,2098,1935,0,1257,254,263,0,0,5,244,470,
AFL-CIO v. Teamsters v. Local,37,37,,,,37,,0,,,,,,
3 (or more)-union elections (RD subtotal),37,37,,,,37,,,,,,,,
Total RD elections,35769,12813,7445,2982,333,2053,4195,5504,3601,1022,767,114,13257,
