row_label,Total / Number,Total / Percent by type,By employer / Number,By employer / Percent by type,By union / Number,By union / Percent by type,By both parties / Number,By both parties / Percent by type
All representation elections,1057,100.0,448,42.4,582,55.0,27,2.6
By type of case,,,,,,,,
RC cases,954,100.0,416,43.6,516,54.1,22,2.3
RM cases,27,100.0,7,25.9,17,63.0,3,11.1
RD cases,76,100.0,25,32.9,49,64.5,2,2.6
By type of election,,,,,,,,
Consent elections,24,100.0,7,29.2,16,66.6,1,4.2
Stipulated elections,751,100.0,320,42.6,416,55.4,15,2.0
Expedited elections,0,100.0,0,0.0,0,0.0,0,0.0
Regional director-directed elections,260,100.0,115,44.2,134,51.5,11,4.3
Board-directed elections,22,100.0,6,27.3,16,72.9,0,0.0
