row_label,Fiscal year 1978 / Number of proceedings Total,Fiscal year 1978 / Number of proceedings Vs employers only,Fiscal year 1978 / Number of proceedings Vs unions only,Fiscal year 1978 / Number of proceedings Vs both employers and unions,Fiscal year 1978 / Number of proceedings Board dismissal,Fiscal year 1978 / Percentages Vs employers only,Fiscal year 1978 / Percentages Vs unions only,Fiscal year 1978 / Percentages Vs both employers and unions,Fiscal year 1978 / Percentages Board dismissal,"July 5, 1935 - June 30, 1978 / Number","July 5, 1935 - June 30, 1978 / Percent"
Proceedings decided by U.S. courts of appeals,360,303,48,2,7,,,,,,
On petitions for review and/or enforcement,333,284,41,2,6,100.0,100.0,100.0,100.0,6506,100.0
Board orders affirmed in full,218,176,36,1,,65.5,87.8,50.0,,4180,63.4
Board orders affirmed with modification,51,51,,,,18.0,,,,1112,16.3
Remanded to Board,8,6,2,,,2.1,4.9,,,296,4.3
Board orders partially affirmed and partially remanded,9,7,2,,,2.5,4.9,,,106,1.4
Board orders set aside,47,44,2,1,,15.4,,50.0,17.0,996,14.5
On petitions for contempt,27,19,7,,1,100.0,100.0,,100.0,,
"Compliance after filing of petition, before court decision",9,9,,,,47.4,,,,,
Court orders holding respondent in contempt,16,10,6,,,52.6,85.7,,,,
Court orders denying contempt,1,,1,,,,14.3,,,,
Proceedings decided by U.S. Supreme Court,5,3,2,,,100.0,100.0,,,222,100.0
Board orders affirmed in full,3,3,2,,,100.0,,,,135,60.7
Board orders affirmed with modification,,,,,,,,,,16,7.2
Board orders set aside,2,,2,,,,100.0,,,34,15.3
Remanded to Board,,,,,,,,,,18,8.1
Remanded to court of appeals,,,,,,,,,,16,7.2
Board's request for remand or modification of enforcement order denied,,,,,,,,,,1,0.5
Contempt cases remanded to court of appeals,,,,,,,,,,1,0.5
Contempt cases enforced,,,,,,,,,,1,0.5
