Type of litigation,Number of proceedings / Total—all courts / Number decided,Number of proceedings / Total—all courts / Court determination / Upholding Board position,Number of proceedings / Total—all courts / Court determination / Contrary to Board position,Number of proceedings / In courts of appeals / Number decided,Number of proceedings / In courts of appeals / Court determination / Upholding Board position,Number of proceedings / In courts of appeals / Court determination / Contrary to Board position,Number of proceedings / In district courts / Number decided
Totals—all types,59,53,6,22,20,2,37
NLRB-initiated actions or interventions,7,7,0,0,0,0,7
To enforce subpena,1,1,0,0,0,0,1
To restrain disposition of assets by respondent,0,0,0,0,0,0,0
To defend Board's jurisdiction,4,4,0,0,0,0,4
To dissolve bankruptcy stay,2,2,0,0,0,0,2
Action by other parties,52,46,6,22,20,2,30
To restrain NLRB from,13,13,0,4,4,0,9
Proceeding in R case,8,8,0,3,3,0,5
Proceeding in unfair labor practice case,4,4,0,1,1,0,3
Proceeding in backpay case,1,1,0,0,0,0,1
To compel NLRB to,38,32,6,18,16,2,20
Issue complaint,3,3,0,1,1,0,2
Seek injunction,3,3,0,1,1,0,2
Take action in R case,11,9,2,2,2,0,9
Comply with Freedom of Information Act,20,16,4,13,11,2,7
Other,1,1,0,1,1,0,0
