row_label,Number of cases showing specific allegations,Percent of total cases
A. Charges filed against employers under sec 8(a) — Subsections of sec. 8(a),,
Total cases,29026,100.0
8(a)(1),5193,17.9
8(a)(2),364,1.3
8(a)(3),13496,46.6
8(a)(4),245,0.8
8(a)(5),5860,20.2
8(a)(1)(2)(3),250,0.9
8(a)(1)(2)(4),8,0.0
8(a)(1)(2)(5),113,0.4
8(a)(1)(3)(4),680,2.3
8(a)(1)(3)(5),2509,8.6
8(a)(1)(4)(5),14,0.0
8(a)(1)(2)(3)(4),26,0.1
8(a)(1)(2)(3)(5),142,0.5
8(a)(1)(2)(4)(5),3,0.0
8(a)(1)(3)(4)(5),74,0.3
8(a)(1)(2)(3)(4)(5),33,0.1
A,,
8(a)(1),29026,100.0
8(a)(2),949,3.3
8(a)(3),17220,59.3
8(a)(4),1083,3.7
8(a)(5),8754,30.2
B. Charges filed against unions under sec 8(b) — Subsections of sec. 8(b),,
Total cases,12055,100.0
8(b)(1),6729,56.1
8(b)(2),189,1.6
8(b)(3),559,4.6
8(b)(4),2368,19.6
8(b)(5),14,0.1
8(b)(6),18,0.1
8(b)(7),530,4.4
8(b)(1)(2),1302,10.8
8(b)(1)(3),232,1.9
8(b)(1)(4),11,0.1
8(b)(1)(5),8,0.1
8(b)(2)(3),6,0.0
8(b)(2)(4),1,0.0
8(b)(3)(4),63,0.5
8(b)(3)(5),15,0.1
8(b)(1)(2)(3),2,0.0
8(b)(1)(2)(5),3,0.1
B,,
8(b)(1),8366,69.4
8(b)(2),1578,13.1
8(b)(3),869,7.2
8(b)(4),2368,19.6
8(b)(5),45,0.4
8(b)(6),32,0.3
8(b)(7),530,4.4
B1. Analysis of 8(b)(4),,
Total cases 8(b)(4),2368,100.0
8(b)(4)(A),126,5.3
8(b)(4)(B),1734,73.3
8(b)(4)(C),10,0.4
8(b)(4)(D),421,17.8
8(b)(4)(A)(B),72,3.0
8(b)(4)(A)(C),4,0.2
8(b)(4)(A)(B)(C),1,0.0
B1,,
8(b)(4)(A),199,8.4
8(b)(4)(B),1811,76.5
8(b)(4)(C),15,0.6
8(b)(4)(D),421,17.8
B2. Analysis of 8(b)(7),,
Total cases 8(b)(7),530,100.0
8(b)(7)(A),119,22.5
8(b)(7)(B),33,6.2
8(b)(7)(C),370,69.8
8(b)(7)(A)(B),2,0.4
8(b)(7)(A)(C),5,0.9
8(b)(7)(A)(B)(C),1,0.2
B2,,
8(b)(7)(A),127,24.0
8(b)(7)(B),36,6.8
8(b)(7)(C),376,70.9
