row_label,All C cases — Number,All C cases — Percent of total closed by method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Total number of cases closed,41544,100.0,28770,100.0,9510,100.0,2001,100.0,484,100.0,159,100.0,44,100.0,576,100.0
Agreement of the parties,11359,27.3,8606,29.9,1614,17.0,890,44.5,8,1.7,34,22.6,25,56.8,180,31.3
Informal settlement,11129,26.8,8464,29.4,1577,16.6,854,42.7,4,0.8,31,19.5,24,54.5,175,30.4
Before issuance of complaint,7183,17.3,5145,17.9,1177,12.4,693,34.6,0,0.0,22,13.8,20,45.5,126,21.9
"After issuance of complaint, before opening of hearing",3742,9.0,3158,10.9,380,4.0,155,7.9,4,0.8,9,5.7,4,9.1,49,8.5
"After hearing opened, before issuance of administrative law judge's decision",204,0.5,161,0.6,20,0.2,6,0.3,0,0.0,0,0.0,0,0.0,0,0.0
Formal settlement,230,0.6,142,0.5,37,0.4,36,1.8,4,0.8,3,1.9,1,2.3,5,0.9
"After issuance of complaint, before opening of hearing",136,0.3,64,0.2,26,0.3,33,1.6,4,0.8,5,3.1,1,2.3,5,0.9
After hearing opened,94,0.2,78,0.3,12,0.1,3,0.2,0,0.0,0,0.0,1,2.3,0,0.0
Compliance with,1465,3.5,1196,4.2,178,1.9,54,2.7,10,2.0,10,6.3,7,15.9,10,1.7
Administrative law judge's decision,19,0.0,13,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Board decision,872,2.1,716,2.5,103,1.1,11,0.5,10,2.0,10,6.3,7,15.9,5,0.9
