row_label,Objections filed,Objections withdrawn,Objections ruled upon,Overruled — Number,Overruled — Percent of total ruled upon,Sustained — Number,Sustained — Percent of total ruled upon
All representation elections,990,163,827,683,82.6,144,17.4
By type of case,,,,,,,
RC cases,902,156,746,612,82.0,134,18.0
RM cases,24,1,23,21,91.3,2,8.7
RD cases,64,6,58,50,86.2,8,13.8
By type of election,,,,,,,
Consent elections,28,5,23,21,91.3,2,8.7
Stipulated elections,696,112,584,470,80.5,114,19.5
Expedited elections,3,0,3,3,100.0,0,0.0
Regional director-directed elections,256,45,211,183,86.7,28,13.3
Board-directed elections,7,1,6,6,100.0,0,0.0
