row_label,FY1979 — Number of proceedings — Total,FY1979 — Number — Vs employers only,FY1979 — Number — Vs unions only,FY1979 — Number — Vs both employers and unions,FY1979 — Number — Board dismissal,FY1979 — Percent — Vs employers only,FY1979 — Percent — Vs unions only,FY1979 — Percent — Vs both employers and unions,FY1979 — Percent — Board dismissal,"July 5, 1935 - Sept. 30, 1979 — Number","July 5, 1935 - Sept. 30, 1979 — Percent"
Proceedings decided by U.S. courts of appeals (section),398,352,40,2,4,,,,,,
On petitions for review and/or enforcement,361,328,27,2,4,100.0,100.0,100.0,100.0,7217,100.0
Board orders affirmed in full,233,212,20,1,0,64.6,74.1,50.0,0,4579,63.4
Board orders affirmed with modification,35,32,2,1,0,9.7,7.4,50.0,0,1147,15.9
Remanded to Board,20,16,1,0,0,4.9,3.7,0,0,316,4.4
Board orders partially affirmed and partially remanded,11,11,0,0,0,3.4,0,0,0,117,1.6
Board orders set aside,62,57,4,0,1,17.3,14.8,0,25.0,1058,14.7
On petitions for contempt,37,24,13,0,0,100.0,100.0,0,0,,
Proceedings decided by U.S. Supreme Court,4,4,0,0,0,100.0,100.0,0,0,226,100.0
Board orders affirmed in full (Supreme Court),1,1,0,0,0,25.0,25.0,0,0,136,60.2
Board orders set aside (Supreme Court),1,1,0,0,0,25.0,25.0,0,0,36,16.0
