row_label,Total all courts — Number decided,Total all courts — Court determination Upholding Board position,Total all courts — Court determination Contrary to Board position,In courts of appeals — Number decided,In courts of appeals — Upholding Board position,In courts of appeals — Contrary to Board position,In district courts — Number decided,In district courts — Upholding Board position,In district courts — Contrary to Board position
Totals — all types,78,72,6,23,21,2,55,51,4
NLRB-initiated actions or interventions,33,31,2,4,2,2,29,29,0
To enforce subpoena,3,2,1,3,2,1,0,0,0
To restrain disposition of assets by respondent,0,0,0,0,0,0,0,0,0
To defend Board's jurisdiction,1,0,1,1,0,1,0,0,0
To dissolve bankruptcy stay,29,29,0,0,0,0,29,29,0
Action by other parties,45,41,4,19,19,0,26,22,4
To restrain NLRB from (subsection),13,12,1,3,3,0,10,9,1
Proceeding in R case,7,7,0,2,2,0,5,5,0
Proceeding in unfair labor practice case,6,5,1,1,1,0,5,4,1
To compel NLRB to (subsection),22,19,3,6,6,0,16,13,3
Issue complaint,6,6,0,2,2,0,4,4,0
Comply with Freedom of Information Act,16,13,3,4,4,0,12,9,3
Other (action by other parties),10,10,0,10,10,0,0,0,0
