row_label,Total,Identification of filing party — AFL-CIO unions,Identification of filing party — Teamsters,Identification of filing party — Other national unions,Identification of filing party — Other local unions,Identification of filing party — Indivduals,Identification of filing party — Employers
"CA — Pending October 1, 1979",13213,6388,1523,553,419,4293,37
CA — Received fiscal 1980,31281,12746,3534,1162,799,12976,64
CA — On docket fiscal 1980,44494,19134,5057,1715,1218,17269,101
CA — Closed fiscal 1980,29411,12043,3211,996,739,12362,61
"CA — Pending September 30, 1980",15083,7091,1846,720,479,4907,40
"CB — Pending October 1, 1979",2342,30,7,6,13,1596,690
CB — Received fiscal 1980,8976,66,17,6,37,7219,1631
CB — On docket fiscal 1980,11318,96,24,12,50,8815,2321
CB — Closed fiscal 1980,8916,62,14,9,31,7096,1704
"CB — Pending September 30, 1980",2402,34,10,3,19,1719,617
"CC — Pending October 1, 1979",730,1,1,1,29,29,669
CC — Received fiscal 1980,2468,7,3,3,47,205,2201
CC — On docket fiscal 1980,3198,8,4,4,76,234,2870
CC — Closed fiscal 1980,2445,7,4,5,57,175,2197
"CC — Pending September 30, 1980",753,1,1,,19,59,673
"CD — Pending October 1, 1979",107,1,0,0,0,2,104
CD — Received fiscal 1980,519,18,2,0,0,74,425
CD — On docket fiscal 1980,626,19,2,0,0,76,529
CD — Closed fiscal 1980,477,10,2,0,0,59,406
"CD — Pending September 30, 1980",149,9,0,0,0,17,123
"CE — Pending October 1, 1979",123,1,2,0,26,3,91
CE — Received fiscal 1980,154,2,2,2,5,8,137
CE — On docket fiscal 1980,277,3,4,2,31,11,230
CE — Closed fiscal 1980,168,3,2,0,7,6,151
"CE — Pending September 30, 1980",109,0,2,0,7,6,79
"CG — Pending October 1, 1979",33,0,0,0,0,1,32
CG — Received fiscal 1980,65,0,0,0,1,2,62
CG — On docket fiscal 1980,98,0,0,0,1,3,94
CG — Closed fiscal 1980,70,1,0,0,0,2,67
"CG — Pending September 30, 1980",28,0,0,0,1,0,27
"CP — Pending October 1, 1979",109,0,0,0,0,1,107
CP — Received fiscal 1980,600,3,0,0,0,67,528
CP — On docket fiscal 1980,709,3,0,0,0,68,635
CP — Closed fiscal 1980,560,2,0,0,0,59,496
"CP — Pending September 30, 1980",149,1,0,0,0,9,139
