row_label,All C cases — Number,All C cases — Percent of total cases closed,CA cases — Number,CA cases — Percent of total cases closed,CB cases — Number,CB cases — Percent of total cases closed,CC cases — Number,CC cases — Percent of total cases closed,CD cases — Number,CD cases — Percent of total cases closed,CE cases — Number,CE cases — Percent of total cases closed,CG cases — Number,CG cases — Percent of total cases closed,CP cases — Number,CP cases — Percent of total cases closed
Compliance — Adopting administrative law judge's decision (no exceptions filed),91,0.2,65,0.2,8,0.1,3,0.1,1,0.2,1,0.6,,,,
Compliance — Contested,728,1.7,562,1.9,99,1.1,18,0.7,5,1.0,5,3.0,2,2.8,6,1.0
Compliance — Circuit court of appeals decree,461,1.1,420,1.4,22,0.2,13,0.5,2,0.4,,,,,4,0.7
Compliance — Supreme Court action,5,0.0,4,0.0,,,1,0.0,,,,,,,,
Withdrawal,13424,31.9,9328,31.7,2960,33.2,814,33.3,0,0.0,66,38.7,17,24.3,235,42.0
Withdrawal — Before issuance of complaint,12907,30.9,8968,30.4,2898,32.7,800,32.7,,,62,36.9,15,21.5,234,41.8
Dismissal,15301,36.4,10292,34.9,4322,48.5,448,18.3,0,0.0,69,41.1,18,25.7,152,27.2
Dismissal — Before issuance of complaint,14887,34.9,9786,33.3,4241,47.6,432,17.7,,,67,39.9,15,21.5,150,26.8
10(k) actions (see table 7A for details of dispositions),465,1.1,0,0.0,0,0.0,0,0.0,465,97.6,0,0.0,0,0.0,0,0.0
Otherwise (compliance with order of administrative law judge or Board not achieved—firm went out of business),,,,,,,,,,,,,,,,
