row_label,Left block / Number of cases showing specific allegations,Left block / Percent of total cases,Right block / Number of cases showing specific allegations,Right block / Percent of total cases
A. Charges filed against employers under sec. 8(a),,,,
Total cases,31273,100.0,,
8(a) — individual subsection breakdown rows,,,,
8(a)(1),31273,100.0,,
8(a)(2),969,3.1,,
8(a)(3),17571,56.2,,
8(a)(4),1409,4.5,,
8(a)(5),9815,31.4,,
B. Charges filed against unions under sec. 8(b),,,,
Total cases (sec. 8(b)),11882,100.0,,
8(b) — individual subsection breakdown rows,,,,
"(right block, top): 8(b)(1)",,,8382,70.5
8(b)(2),,,1513,12.7
8(b)(3),,,945,8.0
8(b)(4),,,2392,20.1
8(b)(5),,,37,0.3
8(b)(6),,,40,0.3
8(b)(7),,,454,3.8
B1. Analysis of 8(b)(4) — Total cases,,,2392,100.0
B1 — 8(b)(4) subsection breakdown rows,,,,
8(b)(4)(A),,,359,15.0
8(b)(4)(B),,,1724,72.1
8(b)(4)(C),,,42,1.8
8(b)(4)(D),,,442,18.5
B2. Analysis of 8(b)(7) — Total cases,,,454,100.0
B2 — 8(b)(7) subsection breakdown rows,,,,
8(b)(7)(A),,,110,24.2
8(b)(7)(B),,,28,6.2
8(b)(7)(C),,,326,71.8
C. Charges filed under sec. 8(e) — Total cases,,,131,100.0
Against unions alone,,,130,99.2
Against employers alone,,,1,0.8
D. Charges filed under sec. 8(g) — Total cases,,,35,100.0
