Types of formal actions taken,Cases on which formal actions taken,Formal actions taken by type of case / Total formal actions taken,Formal actions taken by type of case / RC,Formal actions taken by type of case / RM,Formal actions taken by type of case / RD,Formal actions taken by type of case / UD
"Decisions on objections and/or challenges, total",1229,1160,1023,29,108,13
By regional directors,304,271,243,3,25,4
By Board,925,889,780,26,83,9
In stipulated elections,842,812,710,24,78,8
No exceptions to regional directors' reports,486,461,398,16,47,8
Exceptions to regional directors' reports,356,351,312,8,31,0
In directed elections (after transfer by regional director),81,75,69,2,4,1
Review of regional directors' supplemental decisions,,,,,,
Request for review received,55,50,45,1,4,0
Withdrawn before request ruled upon,0,0,0,0,0,0
"Board action on request ruled upon, total",42,37,34,1,2,0
Granted,4,4,4,0,0,0
Denied,37,32,29,1,2,0
Remanded,1,1,1,0,0,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decisions after review, total",2,2,1,0,1,0
Regional directors' decisions,,,,,,
Affirmed,1,1,0,0,1,0
Modified,1,1,1,0,0,0
Reversed,0,0,0,0,0,0
