Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case / AC,Formal actions taken by type of case / UC
Hearings completed,130,6,104
Decision issued after hearing,150,7,120
By regional directors,146,7,116
By Board,4,0,4
Transferred by regional directors for initial decision,2,0,2
Review of regional director's decisions — Requests for review received,24,0,16
Withdrawn before request ruled upon,0,0,0
"Board action on requests ruled upon, total",16,0,12
Granted,3,0,2
Denied,12,0,9
Remanded,1,0,1
"Withdrawn after request granted, before Board review",0,0,0
"Board decision after review, total",2,0,2
Regional director's decisions — Affirmed,1,0,1
Modified,0,0,0
Reversed,1,0,1
