Action taken,Total all,Remedial action taken by Employer / Employer Total,Remedial action taken by Employer / Employer Informal settlement,Remedial action taken by Employer / Employer Formal settlement,Remedial action taken by Employer / Employer ALJ recommendation,Remedial action taken by Employer / Employer Order of Board,Remedial action taken by Union / Union Total,Remedial action taken by Union / Union Informal settlement,Remedial action taken by Union / Union Formal settlement,Remedial action taken by Union / Union ALJ recommendation,Remedial action taken by Union / Union Order of Board,Remedial action taken by Union / Union Order of Court
A. By number of cases involved,12114,,,,,,,,,,,
Notice posted,,5069,3953,205,20,631,1579,1337,74,15,132,21
Recognition or other assistance withdrawn,56,56,21,11,0,20,5,,,,,
Employer-dominated union disestablished,,,,,,,,,,,,
Employees offered reinstatement,2322,2322,1652,139,8,355,168,,,,,
Employees placed on preferential hiring list,750,750,566,39,2,94,49,,,,,
Hiring hall rights restored,97,,,,,,97,73,6,0,13,7
Objections to employment removed,109,,,,,,109,78,4,0,20,7
Picketing ended,868,,,,,,868,792,43,0,17,16
Work stoppage ended,200,,,,,,200,190,3,0,5,2
Collective bargaining begun,2928,2776,1926,1060,37,0,95,152,140,3,2,70
Backpay distributed,3474,3474,2814,45,0,347,229,,,,,
"Reimbursement of fees, dues",483,401,302,25,0,45,29,82,68,4,0,6
Other conditions of employment improved,2627,1819,1806,0,2,11,0,818,808,2,0,8
Other remedies,21,,19,0,0,,,,,,,
