Method and stage of disposition,All C cases - Number,All C cases - Percent of total closed,All C cases - Percent of total method,CA cases - Number,CA cases - Percent of total closed,CB cases - Number,CB cases - Percent of total closed,CC cases - Number,CC cases - Percent of total closed,CD cases - Number,CD cases - Percent of total closed,CE cases - Number,CE cases - Percent of total closed,CG cases - Number,CG cases - Percent of total closed,CP cases - Number,CP cases - Percent of total closed
Adopting administrative law judge's decision (no exceptions filed),101,0.2,8.2,87,0.3,8,0.1,3,0.1,,,3,2.4,,,,
Contested,747,1.8,60.6,628,2.1,85,1.0,8,0.4,25,1.2,1,0.2,4,3.2,1,0.2
Circuit court of appeals decree,299,0.7,24.3,275,0.9,11,0.1,10,0.5,1,,2,1.6,,,,
Supreme Court action,5,0.0,0.4,3,0.0,2,0.0,,,,,,,,,,
Withdrawal,14089,34.3,100.0,10090,34.4,3087,35.7,692,34.8,3,,43,34.1,12,31.6,172,36.0
Before issuance of complaint,13478,32.9,95.7,9613,32.8,2994,34.7,657,33.5,(2),,37,29.4,11,28.9,166,34.7
"After issuance of complaint, before opening of hearing",428,1.0,3.0,323,1.1,79,0.8,23,1.2,1,0.2,5,4.0,1,2.6,5,1.0
"After hearing opened, before administrative law judge's decision",84,0.2,0.6,70,0.2,13,0.2,1,0.1,,,,,,,,
After issuance of administrative law judge's decision,5,0.0,0.0,4,0.0,1,0.0,,,,,,,,,,
After Board or court decision,94,0.2,0.7,80,0.3,10,0.1,1,0.1,2,0.5,1,0.8,,,,
Dismissal,14577,35.5,100.0,9915,33.8,4143,48.0,343,17.5,4,0.9,28,22.2,6,15.8,138,28.9
Before issuance of complaint,14102,34.4,96.7,9627,32.5,4078,47.2,329,16.8,(2),,26,20.6,6,15.8,136,28.5
"After issuance of complaint, before opening of hearing",207,0.5,1.4,159,0.5,36,0.4,11,0.6,,,,,,,1,0.2
"After hearing opened, before administrative law judge's decision",17,0.0,0.1,13,0.0,3,0.0,,,,,,,,,,
By administrative law judge's decision,13,0.0,0.1,12,0.0,1,0.0,,,,,,,,,,
By Board decision,226,0.6,1.6,193,0.7,25,0.3,3,0.2,,,3,0.7,2,1.6,,
Adopting administrative law judge's decision (no exceptions filed),165,0.4,1.1,145,0.5,17,0.2,,,1,0.2,2,0.5,,,,
Contested,61,0.1,0.4,48,0.2,8,0.1,3,0.2,,,1,0.2,2,5.0,,
By circuit court of appeals decree,9,0.0,0.1,8,0.0,,,,,,,1,0.2,,,,
By Supreme Court action,9,0.0,0.1,9,0.0,,,,,,,,,,,,
10(k) actions (see table 7A for details of dispositions),401,1.0,,,,,,,,401,93.9,,,,,,
Otherwise (compliance with order of administrative law judge not achieved—firm went out of business),,,,,,,,,,,,,,,,,
