Division and State,Total elections / Total elec-tions,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Team-sters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen / Number of elec-tions in which no rep-resent-ative was chosen,Number employees eligible to vote / Number employ-ees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Team-sters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employees in units choosing unions / Eligible employ-ees in units choosing unions
Maine,32,8,4,3,,1,23,2437,2269,1002,865,105,5,32,1267,930
New Hampshire,18,5,,5,,,13,652,585,313,258,55,,,428,428
Vermont,6,2,2,,,,4,499,456,199,133,66,,0,256,256
Massachusetts,245,93,56,29,4,4,152,15326,13247,5981,3729,941,1038,273,7266,4361
Rhode Island,23,8,6,1,1,,15,1007,966,428,271,51,0,106,537,526
Connecticut,104,45,27,12,2,4,59,6273,5423,2273,1556,298,29,390,3152,1694
New England,433,175,110,49,7,9,258,26311,23008,10196,6912,1516,1072,696,12810,7945
New York,602,305,196,56,10,43,297,42376,32465,18572,13323,1687,973,2589,13893,13427
New Jersey,306,139,90,33,1,15,167,15707,13613,6156,4089,1533,181,292,7458,5083
Pennsylvania,463,206,105,60,13,20,259,25196,22778,11121,6527,2623,551,1420,11657,9455
Middle Atlantic,1371,648,391,155,24,78,723,83179,68856,35848,23939,5903,1705,4301,33008,27965
Ohio,442,190,127,47,8,8,252,20491,18244,8220,6512,1034,268,406,10024,6925
Indiana,187,78,49,27,1,1,109,10368,9465,3645,2230,934,588,26,5255,2886
Illinois,376,150,77,54,14,5,226,17569,15491,6930,1985,1861,1832,1251,8562,5532
Michigan,296,172,117,35,11,11,124,20696,17433,8526,6977,722,327,500,8907,9019
Wisconsin,265,85,55,23,3,4,180,10210,9317,4374,2294,1210,81,208,4943,3944
East North Central,1606,675,425,186,35,29,931,79945,69918,33229,24422,4962,2476,1737,36681,29876
Iowa,68,34,19,13,1,1,34,3238,2943,1415,945,281,70,94,1527,1559
Minnesota,216,91,47,30,11,3,125,9033,7275,3361,1899,828,262,232,3914,2538
Missouri,227,114,67,35,7,5,123,9495,8387,3949,2584,790,70,34,4438,2724
North Dakota,26,13,7,6,,,13,837,722,313,139,174,0,0,460,115
South Dakota,20,8,5,,3,,12,487,443,200,143,32,8,57,243,320
Nebraska,53,14,10,4,,,39,1963,1815,844,524,304,0,32,971,535
Kansas,54,16,10,6,,,20,2150,1866,947,725,20,111,,3077,1096
West North Central,664,288,165,95,14,14,366,29169,25995,11233,7033,3147,459,594,14762,8880
Delaware,7,3,1,1,,1,4,139,159,129,109,10,0,10,30,132
Maryland,133,45,29,13,2,1,78,5635,4924,2162,1506,564,78,14,2492,1855
District of Columbia,32,19,15,1,1,2,13,1931,1536,748,548,97,32,90,788,892
Virginia,82,20,7,10,1,,62,5225,4302,1506,748,458,97,32,2796,892
West Virginia,69,38,20,14,3,1,31,3313,2963,1499,929,374,89,107,1464,1335
North Carolina,76,25,21,4,,,51,11642,9853,4084,3752,284,48,0,5931,8015
South Carolina,29,15,8,4,2,1,14,5222,5021,1091,1019,58,0,14,1422,1422
Georgia,147,54,38,15,1,,98,9205,8257,3256,2322,881,47,6,8431,2761
Florida,187,70,52,14,1,3,117,12757,11303,4873,3604,1194,47,29,6432,3515
