row_label,Fiscal year 1981 / Number of proceedings / Total,Fiscal year 1981 / Number of proceedings / Vs. employers only,Fiscal year 1981 / Number of proceedings / Vs. unions only,Fiscal year 1981 / Number of proceedings / Vs. both employers and unions,Fiscal year 1981 / Number of proceedings / Board dismissal,Fiscal year 1981 / Percentages / Vs. employers only,Fiscal year 1981 / Percentages / Vs. unions only,Fiscal year 1981 / Percentages / Vs. both employers and unions,Fiscal year 1981 / Percentages / Board dismissal,"July 1, 1935 - Sept. 30, 1981 / Number","July 1, 1935 - Sept. 30, 1981 / Percent"
Proceedings decided by U.S. courts of appeals,515,452,51,10,2,,,,,8145,
On petitions for review and/or enforcement,479,421,46,10,2,100.0,100.0,100.0,100.0,5176,100.0
Board orders affirmed in full,306,263,36,7,0,62.5,78.3,70.0,,1262,13.5
Board orders affirmed with modification,67,63,4,0,0,15.0,8.7,,,1202,13.5
Remanded to Board,29,24,3,1,1,5.7,6.5,10.0,50.0,373,4.6
Board orders partially affirmed and partially remanded,11,11,0,0,0,2.6,,,,131,1.6
Board orders set aside,66,60,3,2,1,14.2,6.6,20.0,50.0,1203,14.7
On petitions for contempt,36,31,5,0,0,100.0,100.0,,,,
"Compliance after filing of petition, before court order",11,10,1,0,0,32.3,20.0,,,,
Court orders holding respondent in contempt,16,13,3,0,0,41.9,60.0,,,,
"Court order directing compliance, without contempt adjudication",5,5,0,0,0,16.1,,,,,
Contempt petitions withdrawn without compliance,2,2,0,0,0,6.5,,,,,
Court order denying petition,2,1,1,0,0,,20.0,,,,
Proceedings decided by U.S. Supreme Court,2,2,0,0,0,100.0,,,,231,100.0
Board orders affirmed in full,1,1,0,0,0,50.0,,,,138,59.7
Board orders affirmed with modification,0,0,0,0,0,,,,,17,7.4
Board orders set aside,1,1,0,0,0,50.0,,,,38,16.5
Remanded to Board,0,0,0,0,0,,,,,19,8.2
Remanded to court of appeals,0,0,0,0,0,,,,,16,6.9
Board's request for remand or enforcement of enforcement order denied,0,0,0,0,0,,,,,1,0.4
Contempt cases remanded to court of appeals,0,0,0,0,0,,,,,1,0.4
Contempt cases enforced,0,0,0,0,0,,,,,1,0.4
