row_label,Total valid votes cast,Valid votes cast in elections won — Total,Valid votes cast in elections won — Votes for unions — AFL-CIO unions,Valid votes cast in elections won — Votes for unions — Teamsters,Valid votes cast in elections won — Votes for unions — Other national unions,Valid votes cast in elections won — Votes for unions — Other local unions,Valid votes cast in elections won — Total votes for no union,Valid votes cast in elections lost — Total,Valid votes cast in elections lost — Votes for unions — AFL-CIO unions,Valid votes cast in elections lost — Votes for unions — Teamsters,Valid votes cast in elections lost — Votes for unions — Other national unions,Valid votes cast in elections lost — Votes for unions — Other local unions,Valid votes cast in elections lost — Total votes for no union
C. Elections in RM cases (continued — 2-union and totals),,,,,,,,,,,,,
2-union elections (RM subtotal),2781,2587,969,34,,1584,55,32,,23,,5,67
Total RM elections,13162,3411,1501,304,10,1696,469,5262,2533,247,11,71,6020
D. Elections in RD cases,,,,,,,,,,,,,
"AFL-CIO (1-union, RD)",23402,6387,6387,,,,3422,4094,4094,,,,9499
"Teamsters (1-union, RD)",4498,2113,,1123,,,1015,1115,,1115,,,2610
"Other national unions (1-union, RD)",744,213,,,213,,58,182,,,182,,311
"Other local unions (1-union, RD)",1850,432,,,,432,201,423,,,,423,794
1-union elections (RD subtotal),31514,9155,6387,1123,213,432,4331,5814,4094,1115,182,423,13214
2-union elections (RD subtotal),2165,1864,602,9,,1206,73,48,39,7,,,180
3 (or more)-union elections (RD subtotal),271,224,58,166,,,47,0,0,0,0,0,0
Total RD elections,33950,10243,7047,1343,213,1640,4451,5862,4133,1122,182,425,13394
