Type of Board decision,Leaf count,Sub-total,Grand total
Total Board decisions,,,2206
  Contested decisions,,,1429
    Unfair labor practice decisions,,1023,
      Initial (includes those based on stipulated record),873,,
      Supplemental,46,,
      Backpay,54,,
      Determinations in jurisdictional disputes,50,,
    Representation decisions,,395,
      After transfer by regional directors for initial decision,19,,
      After review of regional director decisions,82,,
      On objections and/or challenges,294,,
    Other decisions,,11,
      Clarification of bargaining unit,8,,
      Amendment to certification,0,,
      Union-deauthorization,3,,
  Noncontested decisions,,,777
    Unfair labor practice,433,,
    Representation,342,,
    Other,2,,
