Type of election,All R elections — Total elections,All R elections — Withdrawn or dismissed before runoff,All R elections — Resulting in a rerun or runoff,All R elections — Resulting in certification,RC elections — Total elections,RC elections — Withdrawn or dismissed before runoff,RC elections — Resulting in a rerun or runoff,RC elections — Resulting in certification,RM elections — Total elections,RM elections — Withdrawn or dismissed before runoff,RM elections — Resulting in a rerun or runoff,RM elections — Resulting in certification,RD elections — Total elections,RD elections — Withdrawn or dismissed before runoff,RD elections — Resulting in a rerun or runoff,RD elections — Resulting in certification
All types,4567,41,90,4436,3447,35,76,3336,232,5,2,225,888,1,12,875
All types — Rerun required,,,72,,,,60,,,,1,,,,11,
All types — Runoff required,,,18,,,,16,,,,1,,,,1,
Consent elections,145,6,1,138,82,4,1,77,14,2,0,12,49,0,0,49
Stipulated elections,3715,19,66,3630,2843,18,56,2769,166,0,1,165,706,1,9,696
Regional director-directed,678,15,19,644,499,13,15,471,50,2,1,47,129,0,3,126
Regional director-directed — Rerun required,,,14,,,,11,,,,0,,,,3,
Regional director-directed — Runoff required,,,5,,,,4,,,,1,,,,0,
Board-directed,29,1,4,24,23,0,4,19,2,1,0,1,4,0,0,4
Expedited — sec 8(b)(7)(C),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
