Type of proceeding / disposition,Fiscal year 1984 — Number of proceedings — Total,Vs employers only,Vs unions only,Vs both employers and unions,Board dismissal,Fiscal year 1984 — Percentages — Vs employers only,Vs unions only,Vs both employers and unions,Board dismissal,"Cumulative July 5, 1935 — Sept. 30, 1984 — Number",Cumulative — Percent
Proceedings decided by U.S. courts of appeals,286,243,28,12,3,,,,,9166,100.0
On petitions for review and/or enforcement,259,220,24,12,3,100.0,100.0,100.0,100.0,,
Board orders affirmed in full,175,145,17,11,2,65.9,70.8,91.7,66.7,5861,63.9
Board orders affirmed with modification,22,22,3,0,1,10.0,12.5,0.0,33.3,1047,10.0
Remanded to Board,22,21,1,0,0,10.0,4.2,0.0,0.0,448,4.9
Board orders partially affirmed and partially remanded,9,9,0,0,0,4.1,0.0,0.0,0.0,172,1.9
Board orders set aside,27,23,3,1,0,10.5,12.5,8.3,0.0,1325,14.5
On petitions for contempt,27,23,4,0,0,100.0,100.0,0.0,0.0,,
"Contempt — Compliance after filing of petition, before court order",2,2,0,0,0,8.7,0.0,0.0,0.0,,
Contempt — Court orders holding respondent in contempt,22,18,4,0,0,78.3,100.0,0.0,0.0,,
Contempt — Court orders denying contempt,0,0,0,0,0,0.0,0.0,0.0,0.0,,
Contempt — Court orders directing compliance without contempt adjudication,3,3,0,0,0,13.0,0.0,0.0,0.0,,
Contempt petitions withdrawn without compliance,0,0,0,0,0,0.0,0.0,0.0,0.0,,
Proceedings decided by U.S. Supreme Court,4,3,1,0,0,,,,,243,100.0
SCOTUS — Board orders affirmed in full,2,1,1,0,0,33.4,100.0,0.0,0.0,146,60.1
SCOTUS — Board orders affirmed with modification,1,1,0,0,0,33.3,0.0,0.0,0.0,19,7.8
SCOTUS — Board orders set aside,1,1,0,0,0,33.3,0.0,0.0,0.0,46,18.9
SCOTUS — Remanded to Board,0,0,0,0,0,0.0,0.0,0.0,0.0,16,6.6
SCOTUS — Petition for remand or modification of enforcement order denied,0,0,0,0,0,0.0,0.0,0.0,0.0,10,4.0
SCOTUS — Contempt remanded to court of appeals,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.4
SCOTUS — Contempt cases enforced,0,0,0,0,0,0.0,0.0,0.0,0.0,5,2.1
